l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Demian Maia,Chael Sonnen,Demian Maia,1,0,0,2.545455,0,-35,-2.539993,-5,Southpaw vs Southpaw,0,1.933333,0,35,2.539993,5,Southpaw vs Southpaw,Middleweight
Demian Maia,Rick Story,Demian Maia,1,0,6,2.545455,10.16,0,2.540009,11,Southpaw vs Southpaw,-6,2.111111,-10.16,0,-2.540009,-11,Southpaw vs Southpaw,Welterweight
Demian Maia,Alexander Yakovlev,Demian Maia,1,0,7,2.545455,-5.080002,15,-5.080002,5,Southpaw vs Southpaw,-7,2.4,5.080002,-15,5.080002,-5,Southpaw vs Southpaw,Welterweight
Demian Maia,Nate Marquardt,Nate Marquardt,0,1,1,2.545455,2.539993,-15,-5.080002,-15,Southpaw vs Orthodox,-1,1.842105,-2.539993,15,5.080002,15,Orthodox vs Southpaw,Middleweight
Demian Maia,Dan Miller,Demian Maia,1,0,4,2.545455,0,-15,-5.080002,17,Southpaw vs Orthodox,-4,1.75,0,15,5.080002,-17,Orthodox vs Southpaw,Middleweight
Demian Maia,Kamaru Usman,Kamaru Usman,0,1,9,2.545455,2.539993,0,-10.15999,16,Southpaw vs Switch,-9,6.666667,-2.539993,0,10.15999,-16,Switch vs Southpaw,Welterweight
Demian Maia,Anthony Rocco Martin,Demian Maia,1,0,12,2.545455,2.539993,0,-2.539993,16,Southpaw vs Orthodox,-12,2.833333,-2.539993,0,2.539993,-16,Orthodox vs Southpaw,Welterweight
Demian Maia,Jake Shields,Jake Shields,0,1,1,2.545455,2.539993,0,0,-1,Southpaw vs Orthodox,-1,3.444444,-2.539993,0,0,1,Orthodox vs Southpaw,Welterweight
Demian Maia,Jorge Santiago,Demian Maia,1,0,3,2.545455,0,0,-7.619995,2,Southpaw vs Orthodox,-3,2.083333,0,0,7.619995,-2,Orthodox vs Southpaw,Middleweight
Demian Maia,Tyron Woodley,Tyron Woodley,0,1,4,2.545455,10.16,0,-5.080002,13,Southpaw vs Orthodox,-4,2.714286,-10.16,0,5.080002,-13,Orthodox vs Southpaw,Welterweight
Demian Maia,Belal Muhammad,Belal Muhammad,0,1,11,2.545455,5.080002,0,0,13,Southpaw vs Orthodox,-11,7.666667,-5.080002,0,0,-13,Orthodox vs Southpaw,Welterweight
Demian Maia,Anderson Silva,Anderson Silva,0,1,-2,2.545455,-2.540009,-15,-12.7,-6,Southpaw vs Southpaw,2,3.090909,2.540009,15,12.7,6,Southpaw vs Southpaw,Middleweight
Demian Maia,Jorge Masvidal,Demian Maia,1,0,7,2.545455,5.080002,0,-5.080002,-13,Southpaw vs Orthodox,-7,2.058824,-5.080002,0,5.080002,13,Orthodox vs Southpaw,Welterweight
Demian Maia,Mark Munoz,Mark Munoz,0,1,0,2.545455,2.539993,-15,2.540009,19,Southpaw vs Orthodox,0,2.333333,-2.539993,15,-2.540009,-19,Orthodox vs Southpaw,Middleweight
Denis Stojnic,Cain Velasquez,Cain Velasquez,0,1,3,4.333333,-2.539993,5,,-1,Orthodox vs Orthodox,-3,4.666667,2.539993,-5,,1,Orthodox vs Orthodox,Heavyweight
Denis Stojnic,Stefan Struve,Stefan Struve,0,1,8,4.333333,-27.94,-20,,-30,Orthodox vs Orthodox,-8,2.538461,27.94,20,,30,Orthodox vs Orthodox,Heavyweight
Denise Gomes,Loma Lookboonmee,Loma Lookboonmee,0,1,-4,4,2.539993,0,5.080002,-1,Orthodox vs Orthodox,4,2.666667,-2.539993,0,-5.080002,1,Orthodox vs Orthodox,"Women's Strawweight"
Denise Gomes,Yazmin Jauregui,Denise Gomes,1,0,-1,4,-2.540009,0,-2.539993,-1,Orthodox vs Orthodox,1,10,2.540009,0,2.539993,1,Orthodox vs Orthodox,"Women's Strawweight"
Dennis Bermudez,Chan Sung Jung,Chan Sung Jung,0,1,1,1.888889,-2.539993,10,-15.24001,1,Orthodox vs Orthodox,-1,2.125,2.539993,-10,15.24001,-1,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Matt Grice,Dennis Bermudez,1,0,-5,1.888889,-5.080002,10,-10.16,6,Orthodox vs Orthodox,5,3,5.080002,-10,10.16,-6,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Andre Fili,Andre Fili,0,1,4,1.888889,-12.7,10,-20.32001,-6,Orthodox vs Orthodox,-4,2.2,12.7,-10,20.32001,6,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Clay Guida,Dennis Bermudez,1,0,-5,1.888889,-2.539993,0,-10.16,-32,Orthodox vs Orthodox,5,1.9,2.539993,0,10.16,32,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Ricardo Lamas,Ricardo Lamas,0,1,-5,1.888889,-5.080002,10,-12.7,-2,Orthodox vs Orthodox,5,2.5,5.080002,-10,12.7,2,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Diego Brandao,Diego Brandao,0,1,0,1.888889,-2.539993,10,5.080002,-7,Orthodox vs Orthodox,0,2,2.539993,-10,-5.080002,7,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Ricky Glenn,Ricky Glenn,0,1,2,1.888889,-15.24001,0,-10.16,-3,Orthodox vs Southpaw,-2,3.142857,15.24001,0,10.16,3,Southpaw vs Orthodox,Featherweight
Dennis Bermudez,Jimy Hettes,Dennis Bermudez,1,0,1,1.888889,-7.619995,10,-12.7,12,Orthodox vs Southpaw,-1,3.666667,7.619995,-10,12.7,-12,Southpaw vs Orthodox,Featherweight
Dennis Bermudez,Jeremy Stephens,Jeremy Stephens,0,1,-1,1.888889,-7.619995,10,-12.7,-21,Orthodox vs Orthodox,1,1.473684,7.619995,-10,12.7,21,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Tatsuya Kawajiri,Dennis Bermudez,1,0,-8,1.888889,-2.539993,10,-7.619995,-21,Orthodox vs Orthodox,8,3.272727,2.539993,-10,7.619995,21,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Pablo Garza,Dennis Bermudez,1,0,-3,1.888889,-17.78,10,-17.78,10,Orthodox vs Orthodox,3,3,17.78,-10,17.78,-10,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Darren Elkins,Darren Elkins,0,1,-3,1.888889,-10.16,10,-12.7,-12,Orthodox vs Orthodox,3,2.454545,10.16,-10,12.7,12,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Steven Siler,Dennis Bermudez,1,0,0,1.888889,-12.7,10,-10.16,-19,Orthodox vs Orthodox,0,1.8125,12.7,-10,10.16,19,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Rony Jason,Dennis Bermudez,1,0,-3,1.888889,-2.539993,10,-17.78,5,Orthodox vs Orthodox,3,2,2.539993,-10,17.78,-5,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Max Holloway,Dennis Bermudez,1,0,5,1.888889,-12.7,10,-7.619995,-6,Orthodox vs Orthodox,-5,3.571429,12.7,-10,7.619995,6,Orthodox vs Orthodox,Featherweight
Dennis Bermudez,Tommy Hayden,Dennis Bermudez,1,0,-1,1.888889,-7.619995,10,,12,Orthodox vs Southpaw,1,3.666667,7.619995,-10,,-12,Southpaw vs Orthodox,Featherweight
Dennis Bermudez,Te Edwards,Dennis Bermudez,1,0,4,1.888889,-5.080002,0,-15.24001,17,Orthodox vs Orthodox,-4,2,5.080002,0,15.24001,-17,Orthodox vs Orthodox,Lightweight
Dennis Buzukja,Sean Woodson,Sean Woodson,0,1,-6,2.666667,-12.70001,0,-20.31999,0,Switch vs Orthodox,6,10,12.70001,0,20.31999,0,Orthodox vs Switch,Featherweight
Dennis Hallman,Jorge Rivera,Jorge Rivera,0,1,-4,2.65,-10.16,-30,-2.539993,44,Orthodox vs Orthodox,4,2.222222,10.16,30,2.539993,-44,Orthodox vs Orthodox,Middleweight
Dennis Hallman,Frank Trigg,Frank Trigg,0,1,-4,2.65,0,-15,2.540009,43,Orthodox vs Southpaw,4,2.333333,0,15,-2.540009,-43,Southpaw vs Orthodox,Welterweight
Dennis Hallman,John Howard,John Howard,0,1,8,2.65,5.080002,-15,0,36,Orthodox vs Orthodox,-8,1.846154,-5.080002,15,0,-36,Orthodox vs Orthodox,Welterweight
Dennis Hallman,John Makdessi,Dennis Hallman,1,0,10,2.65,2.539993,0,10.16,46,Orthodox vs Orthodox,-10,2,-2.539993,0,-10.16,-46,Orthodox vs Orthodox,Lightweight
Dennis Hallman,Ben Saunders,Dennis Hallman,1,0,7,2.65,-12.70001,-15,-12.7,38,Orthodox vs Orthodox,-7,1.692308,12.70001,15,12.7,-38,Orthodox vs Orthodox,Welterweight
Dennis Hallman,Matt Hughes,Dennis Hallman,1,0,-2,2.65,0,-15,-2.539993,19,Orthodox vs Switch,2,5,0,15,2.539993,-19,Switch vs Orthodox,Welterweight
Dennis Hallman,Jens Pulver,Jens Pulver,0,1,-1,2.65,5.080002,10,5.080002,27,Orthodox vs Southpaw,1,1.421053,-5.080002,-10,-5.080002,-27,Southpaw vs Orthodox,Lightweight
Dennis Hallman,Karo Parisyan,Dennis Hallman,1,0,6,2.65,-2.540009,-15,0,38,Orthodox vs Orthodox,-6,2.181818,2.540009,15,0,-38,Orthodox vs Orthodox,Welterweight
Dennis Siver,Andre Winner,Dennis Siver,1,0,2,2.090909,-12.7,-10,-7.619995,2,Orthodox vs Orthodox,-2,1.909091,12.7,10,7.619995,-2,Orthodox vs Orthodox,Lightweight
Dennis Siver,Matt Wiman,Dennis Siver,1,0,5,2.090909,-10.16,-10,5.080002,8,Orthodox vs Orthodox,-5,1.6,10.16,10,-5.080002,-8,Orthodox vs Orthodox,Lightweight
Dennis Siver,Cub Swanson,Cub Swanson,0,1,5,2.090909,-5.080002,0,0,-8,Orthodox vs Orthodox,-5,2.230769,5.080002,0,0,8,Orthodox vs Orthodox,Featherweight
Dennis Siver,George Sotiropoulos,Dennis Siver,1,0,-1,2.090909,-10.16,-10,-2.539993,13,Orthodox vs Orthodox,1,2,10.16,10,2.539993,-13,Orthodox vs Orthodox,Lightweight
Denys Bondar,Carlos Hernandez,Carlos Hernandez,0,1,1,3.2,-5.080002,0,5.080002,10,Orthodox vs Orthodox,-1,4.5,5.080002,0,-5.080002,-10,Orthodox vs Orthodox,Flyweight
Denys Bondar,Malcolm Gordon,Malcolm Gordon,0,1,-2,3.2,-2.539993,0,-5.080002,0,Orthodox vs Switch,2,2,2.539993,0,5.080002,0,Switch vs Orthodox,Flyweight
Derek Brunson,Lyoto Machida,Derek Brunson,1,0,-6,2.555556,0,0,7.619995,0,Southpaw vs Southpaw,6,3,0,0,-7.619995,0,Southpaw vs Southpaw,Middleweight
Derek Brunson,Yoel Romero,Yoel Romero,0,1,-6,2.555556,2.539993,0,10.16,14,Southpaw vs Southpaw,6,2.6,-2.539993,0,-10.16,-14,Southpaw vs Southpaw,Middleweight
Derek Brunson,Kevin Holland,Derek Brunson,1,0,9,2.555556,-5.080002,15,-10.16,-3,Southpaw vs Orthodox,-9,2.5,5.080002,-15,10.16,3,Orthodox vs Southpaw,Middleweight
Derek Brunson,Ed Herman,Derek Brunson,1,0,-3,2.555556,0,-20,0,-11,Southpaw vs Orthodox,3,1.6875,0,20,0,11,Orthodox vs Southpaw,Middleweight
Derek Brunson,Dricus Du Plessis,Dricus Du Plessis,0,1,10,2.555556,0,0,2.540009,10,Southpaw vs Switch,-10,10,0,0,-2.540009,-10,Switch vs Southpaw,Middleweight
Derek Brunson,Jacare Souza,Jacare Souza,0,1,-4,2.555556,0,0,12.7,-4,Southpaw vs Orthodox,4,2.6,0,0,-12.7,4,Orthodox vs Southpaw,Middleweight
Derek Brunson,Ian Heinisch,Derek Brunson,1,0,4,2.555556,5.080002,0,12.7,13,Southpaw vs Orthodox,-4,2.8,-5.080002,0,-12.7,-13,Orthodox vs Southpaw,Middleweight
Derek Brunson,Darren Till,Derek Brunson,1,0,9,2.555556,2.539993,0,7.619995,9,Southpaw vs Southpaw,-9,3.6,-2.539993,0,-7.619995,-9,Southpaw vs Southpaw,Middleweight
Derek Brunson,Robert Whittaker,Robert Whittaker,0,1,7,2.555556,2.539993,0,10.16,0,Southpaw vs Orthodox,-7,3.571429,-2.539993,0,-10.16,0,Orthodox vs Southpaw,Middleweight
Derek Brunson,Chris Leben,Derek Brunson,1,0,-4,2.555556,5.080002,0,10.16,-1,Southpaw vs Southpaw,4,2,-5.080002,0,-10.16,1,Southpaw vs Southpaw,Middleweight
Derek Brunson,Roan Carneiro,Derek Brunson,1,0,-5,2.555556,5.080002,15,2.540009,0,Southpaw vs Orthodox,5,1.909091,-5.080002,-15,-2.540009,0,Orthodox vs Southpaw,Middleweight
Derek Brunson,Daniel Kelly,Derek Brunson,1,0,-6,2.555556,2.539993,0,17.78,15,Southpaw vs Southpaw,6,3.25,-2.539993,0,-17.78,-15,Southpaw vs Southpaw,Middleweight
Derek Brunson,Edmen Shahbazyan,Derek Brunson,1,0,14,2.555556,-2.540009,0,5.080002,16,Southpaw vs Orthodox,-14,3,2.540009,0,-5.080002,-16,Orthodox vs Southpaw,Middleweight
Derek Brunson,Jared Cannonier,Jared Cannonier,0,1,1,2.555556,5.080002,0,0,9,Southpaw vs Switch,-1,2.833333,-5.080002,0,0,-9,Switch vs Southpaw,Middleweight
Derek Brunson,Elias Theodorou,Derek Brunson,1,0,5,2.555556,0,0,5.080002,13,Southpaw vs Orthodox,-5,5.333333,0,0,-5.080002,-13,Orthodox vs Southpaw,Middleweight
Derek Brunson,Lorenz Larkin,Derek Brunson,1,0,3,2.555556,5.080002,15,12.7,8,Southpaw vs Orthodox,-3,3,-5.080002,-15,-12.7,-8,Orthodox vs Southpaw,Middleweight
Derek Brunson,Brian Houston,Derek Brunson,1,0,-3,2.555556,-2.540009,0,,22,Southpaw vs Orthodox,3,0.6666667,2.540009,0,,-22,Orthodox vs Southpaw,Middleweight
Derek Brunson,Anderson Silva,Anderson Silva,0,1,-8,2.555556,-2.540009,0,0,-13,Southpaw vs Southpaw,8,3.090909,2.540009,0,0,13,Southpaw vs Southpaw,Middleweight
Derek Brunson,Uriah Hall,Derek Brunson,1,0,0,2.555556,2.539993,0,-5.080002,3,Southpaw vs Orthodox,0,1.636364,-2.539993,0,5.080002,-3,Orthodox vs Southpaw,Middleweight
Derrick Krantz,Vicente Luque,Vicente Luque,0,1,4,1.833333,-2.539993,0,-7.619995,3,Orthodox vs Orthodox,-4,2.444444,2.539993,0,7.619995,-3,Orthodox vs Orthodox,Welterweight
Derrick Lewis,Serghei Spivac,Serghei Spivac,0,1,9,2.454545,0,0,2.540009,18,Orthodox vs Orthodox,-9,4,0,0,-2.540009,-18,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Aleksei Oleinik,Derrick Lewis,1,0,-8,2.454545,2.539993,20,-2.539993,-39,Orthodox vs Orthodox,8,3.529412,-2.539993,-20,2.539993,39,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Marcin Tybura,Derrick Lewis,1,0,1,2.454545,0,11,2.540009,6,Orthodox vs Orthodox,-1,3,0,-11,-2.540009,-6,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Jack May,Derrick Lewis,1,0,-4,2.454545,-12.7,5,,26,Orthodox vs Switch,4,3,12.7,-5,,-26,Switch vs Orthodox,Heavyweight
Derrick Lewis,Alexander Volkov,Derrick Lewis,1,0,4,2.454545,-10.16,10,-2.539993,-9,Orthodox vs Orthodox,-4,3.7,10.16,-10,2.539993,9,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Ruan Potts,Derrick Lewis,1,0,-7,2.454545,2.539993,13,10.16,21,Orthodox vs Orthodox,7,1.833333,-2.539993,-13,-10.16,-21,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Sergei Pavlovich,Sergei Pavlovich,0,1,7,2.454545,0,3,-12.7,19,Orthodox vs Southpaw,-7,18,0,-3,12.7,-19,Southpaw vs Orthodox,Heavyweight
Derrick Lewis,Francis Ngannou,Derrick Lewis,1,0,2,2.454545,-2.539993,10,-10.16,18,Orthodox vs Orthodox,-2,5.666667,2.539993,-10,10.16,-18,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Matt Mitrione,Matt Mitrione,0,1,-7,2.454545,0,-5,-7.619995,21,Orthodox vs Switch,7,2.4,0,5,7.619995,-21,Switch vs Orthodox,Heavyweight
Derrick Lewis,Marcos Rogerio de Lima,Derrick Lewis,1,0,0,2.454545,5.080002,7,10.16,7,Orthodox vs Orthodox,0,2.1,-5.080002,-7,-10.16,-7,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Tai Tuivasa,Tai Tuivasa,0,1,9,2.454545,2.539993,-4,10.16,17,Orthodox vs Southpaw,-9,2.5,-2.539993,4,-10.16,-17,Southpaw vs Orthodox,Heavyweight
Derrick Lewis,Roy Nelson,Derrick Lewis,1,0,-9,2.454545,7.619995,-3,15.24001,2,Orthodox vs Orthodox,9,1.571429,-7.619995,3,-15.24001,-2,Orthodox vs Orthodox,Heavyweight
Derrick Lewis,Viktor Pesta,Derrick Lewis,1,0,5,2.454545,0,20,5.080002,24,Orthodox vs Orthodox,-5,2.5,0,-20,-5.080002,-24,Orthodox vs Orthodox,Heavyweight
Desmond Green,Charles Jourdain,Desmond Green,1,0,6,2.875,2.540009,10,10.16,10,Southpaw vs Switch,-6,2.5,-2.540009,-10,-10.16,-10,Switch vs Southpaw,Lightweight
Desmond Green,Rustam Khabilov,Rustam Khabilov,0,1,-3,2.875,5.080002,0,0,3,Southpaw vs Orthodox,3,6,-5.080002,0,0,-3,Orthodox vs Southpaw,Lightweight
Desmond Green,Gleison Tibau,Desmond Green,1,0,-6,2.875,0,0,5.080002,-16,Southpaw vs Southpaw,6,2.357143,0,0,-5.080002,16,Southpaw vs Southpaw,Lightweight
Desmond Green,Mairbek Taisumov,Mairbek Taisumov,0,1,-2,2.875,2.540009,0,0,-2,Southpaw vs Orthodox,2,4.5,-2.540009,0,0,2,Orthodox vs Southpaw,Lightweight
Desmond Green,Michel Prazeres,Michel Prazeres,0,1,-8,2.875,10.16,-15,15.24001,1,Southpaw vs Orthodox,8,6.5,-10.16,15,-15.24001,-1,Orthodox vs Southpaw,Lightweight
Desmond Green,Ross Pearson,Desmond Green,1,0,-5,2.875,5.080002,0,10.16,-5,Southpaw vs Orthodox,5,1.25,-5.080002,0,-10.16,5,Orthodox vs Southpaw,Lightweight
Devin Clark,Josh Stansbury,Devin Clark,1,0,-6,1.75,-5.080002,0,2.539993,10,Orthodox vs Orthodox,6,0.5,5.080002,0,-2.539993,-10,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Da Woon Jung,Devin Clark,1,0,3,1.75,-10.15999,0,-7.619995,2,Orthodox vs Orthodox,-3,3,10.15999,0,7.619995,-2,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Ion Cutelaba,Ion Cutelaba,0,1,4,1.75,-2.539993,0,0,-4,Orthodox vs Southpaw,-4,1.888889,2.539993,0,0,4,Southpaw vs Orthodox,Light Heavyweight
Devin Clark,Jake Collier,Devin Clark,1,0,-1,1.75,-7.619995,-25,-7.619995,-1,Orthodox vs Orthodox,1,1.3,7.619995,25,7.619995,1,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Alonzo Menifield,Devin Clark,1,0,-2,1.75,0,0,-2.539993,5,Orthodox vs Orthodox,2,4.666667,0,0,2.539993,-5,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Ryan Spann,Ryan Spann,0,1,1,1.75,-12.7,0,-10.16,-8,Orthodox vs Orthodox,-1,2.333333,12.7,0,10.16,8,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Kennedy Nzechukwu,Kennedy Nzechukwu,0,1,3,1.75,-12.7,0,-20.32001,6,Orthodox vs Southpaw,-3,3,12.7,0,20.32001,-6,Southpaw vs Orthodox,Light Heavyweight
Devin Clark,Aleksandar Rakic,Aleksandar Rakic,0,1,2,1.75,-10.15999,0,-7.619995,5,Orthodox vs Orthodox,-2,4.666667,10.15999,0,7.619995,-5,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Mike Rodriguez,Devin Clark,1,0,-2,1.75,-10.15999,0,-17.78,4,Orthodox vs Southpaw,2,1.571429,10.15999,0,17.78,-4,Southpaw vs Orthodox,Light Heavyweight
Devin Clark,Darko Stosic,Devin Clark,1,0,2,1.75,0,0,-2.539993,5,Orthodox vs Orthodox,-2,3.25,0,0,2.539993,-5,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Alex Nicholson,Alex Nicholson,0,1,0,1.75,-10.15999,20,-5.080002,11,Orthodox vs Orthodox,0,1.75,10.15999,-20,5.080002,-11,Orthodox vs Orthodox,Middleweight
Devin Clark,Dequan Townsend,Devin Clark,1,0,-4,1.75,-7.619995,0,-10.16,-11,Orthodox vs Orthodox,4,1.75,7.619995,0,10.16,11,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Anthony Smith,Anthony Smith,0,1,-2,1.75,-10.15999,0,-2.539993,-33,Orthodox vs Orthodox,2,2.055556,10.15999,0,2.539993,33,Orthodox vs Orthodox,Light Heavyweight
Devin Clark,Azamat Murzakanov,Azamat Murzakanov,0,1,-1,1.75,5.080002,0,10.16,9,Orthodox vs Southpaw,1,13,-5.080002,0,-10.16,-9,Southpaw vs Orthodox,Light Heavyweight
Devin Clark,William Knight,Devin Clark,1,0,-2,1.75,5.080002,0,5.080002,6,Orthodox vs Orthodox,2,2.2,-5.080002,0,-5.080002,-6,Orthodox vs Orthodox,Heavyweight
Devonte Smith,Khama Worthy,Khama Worthy,0,1,-6,2.75,-5.080002,0,5.079987,-10,Orthodox vs Orthodox,6,1.777778,5.080002,0,-5.079987,10,Orthodox vs Orthodox,Lightweight
Dhiego Lima,Jesse Taylor,Jesse Taylor,0,1,-6,1.888889,5.080002,0,5.080002,-20,Orthodox vs Orthodox,6,2.066667,-5.080002,0,-5.080002,20,Orthodox vs Orthodox,Welterweight
Dhiego Lima,Tim Means,Tim Means,0,1,-5,1.888889,0,0,0,-22,Orthodox vs Orthodox,5,2.2,0,0,0,22,Orthodox vs Orthodox,Welterweight
Dhiego Lima,Yushin Okami,Yushin Okami,0,1,-7,1.888889,0,0,0,-20,Orthodox vs Southpaw,7,2.833333,0,0,0,20,Southpaw vs Orthodox,Welterweight
Dhiego Lima,Court McGee,Dhiego Lima,1,0,-4,1.888889,7.62001,0,0,-8,Orthodox vs Orthodox,4,1.833333,-7.62001,0,0,8,Orthodox vs Orthodox,Welterweight
Dhiego Lima,Belal Muhammad,Belal Muhammad,0,1,0,1.888889,7.62001,0,7.619995,0,Orthodox vs Orthodox,0,7.666667,-7.62001,0,-7.619995,0,Orthodox vs Orthodox,Welterweight
Diana Belbita,Molly McCann,Molly McCann,0,1,-6,2.142857,7.619995,-10,15.24001,3,Orthodox vs Orthodox,6,2.166667,-7.619995,10,-15.24001,-3,Orthodox vs Orthodox,"Women's Flyweight"
Diana Belbita,Liana Jojua,Liana Jojua,0,1,-1,2.142857,7.619995,-10,15.24001,9,Orthodox vs Orthodox,1,1.6,-7.619995,10,-15.24001,-9,Orthodox vs Orthodox,"Women's Flyweight"
Diana Belbita,Gloria de Paula,Gloria de Paula,0,1,-1,2.142857,5.079987,0,2.540009,11,Orthodox vs Orthodox,1,1.2,-5.079987,0,-2.540009,-11,Orthodox vs Orthodox,"Women's Strawweight"
Diana Belbita,Hannah Goldy,Diana Belbita,1,0,-4,2.142857,7.619995,0,17.78,12,Orthodox vs Orthodox,4,1.5,-7.619995,0,-17.78,-12,Orthodox vs Orthodox,"Women's Strawweight"
Diana Belbita,Maria Oliveira,Diana Belbita,1,0,0,2.142857,2.539993,0,-2.539993,2,Orthodox vs Orthodox,0,1.857143,-2.539993,0,2.539993,-2,Orthodox vs Orthodox,"Women's Strawweight"
Diego Brandao,Pablo Garza,Diego Brandao,1,0,-4,2,-15.24001,0,-22.86,17,Orthodox vs Orthodox,4,3,15.24001,0,22.86,-17,Orthodox vs Orthodox,Featherweight
Diego Brandao,Joey Gambino,Diego Brandao,1,0,2,2,0,0,,22,Orthodox vs Orthodox,-2,4.5,0,0,,-22,Orthodox vs Orthodox,Featherweight
Diego Brandao,Conor McGregor,Conor McGregor,0,1,1,2,-5.080002,-10,-25.40001,5,Orthodox vs Southpaw,-1,3.666667,5.080002,10,25.40001,-5,Southpaw vs Orthodox,Featherweight
Diego Brandao,Daniel Pineda,Diego Brandao,1,0,-2,2,0,0,-12.7,-10,Orthodox vs Orthodox,2,1.866667,0,0,12.7,10,Orthodox vs Orthodox,Featherweight
Diego Brandao,Brian Ortega,Brian Ortega,0,1,4,2,-2.540009,0,-12.7,15,Orthodox vs Switch,-4,5,2.540009,0,12.7,-15,Switch vs Orthodox,Featherweight
Diego Brandao,Jimy Hettes,Diego Brandao,1,0,0,2,-5.080002,0,-17.78,19,Orthodox vs Southpaw,0,3.666667,5.080002,0,17.78,-19,Southpaw vs Orthodox,Featherweight
Diego Brandao,Dustin Poirier,Dustin Poirier,0,1,2,2,-5.080002,-10,-20.32001,-4,Orthodox vs Southpaw,-2,3.625,5.080002,10,20.32001,4,Southpaw vs Orthodox,Featherweight
Diego Brandao,Darren Elkins,Darren Elkins,0,1,-4,2,-7.62001,0,-17.78,-5,Orthodox vs Orthodox,4,2.454545,7.62001,0,17.78,5,Orthodox vs Orthodox,Featherweight
Diego Brandao,Katsunori Kikuno,Diego Brandao,1,0,-5,2,-2.540009,0,-5.080002,1,Orthodox vs Orthodox,5,3,2.540009,0,5.080002,-1,Orthodox vs Orthodox,Featherweight
Diego Ferreira,Jared Gordon,Diego Ferreira,1,0,4,3.6,0,0,15.24001,-2,Orthodox vs Orthodox,-4,3.166667,0,0,-15.24001,2,Orthodox vs Orthodox,Lightweight
Diego Ferreira,Dustin Poirier,Dustin Poirier,0,1,4,3.6,0,0,5.080002,-14,Orthodox vs Southpaw,-4,3.625,0,0,-5.080002,14,Southpaw vs Orthodox,Lightweight
Diego Ferreira,Colton Smith,Diego Ferreira,1,0,3,3.6,-7.62001,0,7.62001,12,Orthodox vs Orthodox,-3,1.75,7.62001,0,-7.62001,-12,Orthodox vs Orthodox,Lightweight
Diego Ferreira,Michael Johnson,Diego Ferreira,1,0,2,3.6,-2.540009,0,2.540009,-18,Orthodox vs Southpaw,-2,1.157895,2.540009,0,-2.540009,18,Southpaw vs Orthodox,Lightweight
Diego Ferreira,Kyle Nelson,Diego Ferreira,1,0,6,3.6,-5.080002,10,7.62001,3,Orthodox vs Switch,-6,3,5.080002,-10,-7.62001,-3,Switch vs Orthodox,Lightweight
Diego Ferreira,Anthony Pettis,Diego Ferreira,1,0,3,3.6,-2.540009,0,5.080002,-11,Orthodox vs Orthodox,-3,2.4,2.540009,0,-5.080002,11,Orthodox vs Orthodox,Lightweight
Diego Ferreira,Mateusz Gamrot,Mateusz Gamrot,0,1,5,3.6,-2.540009,0,10.16,-2,Orthodox vs Southpaw,-5,11.5,2.540009,0,-10.16,2,Southpaw vs Orthodox,Lightweight
Diego Ferreira,Ramsey Nijem,Diego Ferreira,1,0,3,3.6,-5.080002,0,-2.539993,8,Orthodox vs Orthodox,-3,1.5,5.080002,0,2.539993,-8,Orthodox vs Orthodox,Lightweight
Diego Ferreira,Mairbek Taisumov,Diego Ferreira,1,0,3,3.6,0,0,2.540009,-10,Orthodox vs Orthodox,-3,4.5,0,0,-2.540009,10,Orthodox vs Orthodox,Lightweight
