l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Jon Madsen,Justin Wren,Jon Madsen,1,0,7,4,-5.080002,-25,,-5,Orthodox vs Orthodox,-7,6.5,5.080002,25,,5,Orthodox vs Orthodox,Heavyweight
Jon Madsen,Karlos Vemola,Jon Madsen,1,0,5,4,0,55,-7.619995,-12,Orthodox vs Orthodox,-5,3.4,0,-55,7.619995,12,Orthodox vs Orthodox,Heavyweight
Jon Olav Einemo,Mike Russow,Mike Russow,0,1,1,2,12.7,-2,,-9,Orthodox vs Orthodox,-1,5,-12.7,2,,9,Orthodox vs Orthodox,Heavyweight
Jonathan Brookins,Michael Johnson,Jonathan Brookins,1,0,1,1.6,5.080002,-10,2.540009,-15,Southpaw vs Southpaw,-1,1.157895,-5.080002,10,-2.540009,15,Southpaw vs Southpaw,Lightweight
Jonathan Brookins,Charles Oliveira,Charles Oliveira,0,1,4,1.6,5.080002,-10,0,-17,Southpaw vs Orthodox,-4,3.777778,-5.080002,10,0,17,Orthodox vs Southpaw,Featherweight
Jonathan Brookins,Erik Koch,Erik Koch,0,1,4,1.6,5.080002,-25,7.62001,4,Southpaw vs Southpaw,-4,2.666667,-5.080002,25,-7.62001,-4,Southpaw vs Southpaw,Featherweight
Jonathan Brookins,Dustin Poirier,Dustin Poirier,0,1,4,1.6,7.62001,-10,5.080002,-11,Southpaw vs Southpaw,-4,3.625,-7.62001,10,-5.080002,11,Southpaw vs Southpaw,Featherweight
Jonathan Brookins,Vagner Rocha,Jonathan Brookins,1,0,-3,1.6,5.080002,-10,2.540009,8,Southpaw vs Orthodox,3,3.5,-5.080002,10,-2.540009,-8,Orthodox vs Southpaw,Featherweight
Jonathan Goulet,Kuniyoshi Hironaka,Jonathan Goulet,1,0,-3,1.916667,5.080002,2,7.619995,3,Orthodox vs Orthodox,3,2.555556,-5.080002,-2,-7.619995,-3,Orthodox vs Orthodox,Welterweight
Jonathan Goulet,Josh Koscheck,Josh Koscheck,0,1,-1,1.916667,5.080002,0,0,7,Orthodox vs Orthodox,1,1.545455,-5.080002,0,0,-7,Orthodox vs Orthodox,Welterweight
