l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Deiveson Figueiredo,Alexandre Pantoja,Deiveson Figueiredo,1,117,71,113,67,3,2,0,0,0,160,68,151,61,10,2,0,0,112,74,Decision,3,3,5:00,1,0
Deiveson Figueiredo,Brandon Moreno,Brandon Moreno,0,45,33,36,24,1,1,0,0,1,109,71,85,47,2,2,2,0,90,289,Submission,5,3,2:26,0,1
Deiveson Figueiredo,Brandon Moreno,Deiveson Figueiredo,3,178,95,169,86,11,2,0,0,0,260,106,259,105,2,1,0,0,138,46,Decision,5,5,5:00,1,0
Delson Heleno,Francisco Trinaldo,Francisco Trinaldo,0,5,4,4,3,4,0,0,0,0,47,41,26,21,0,0,0,0,67,69,KO/TKO,3,1,4:21,0,1
Demetrious Johnson,Wilson Reis,Demetrious Johnson,0,216,135,186,108,2,1,1,0,0,170,18,168,16,6,0,0,0,139,1,Submission,5,3,4:49,1,0
Demetrious Johnson,Ian McCall,Demetrious Johnson,1,169,105,153,90,8,2,0,0,0,172,94,132,57,11,1,0,0,123,185,Decision,3,3,5:00,1,0
Demetrious Johnson,Norifumi Yamamoto,Demetrious Johnson,0,134,70,102,38,15,10,0,0,0,66,17,65,16,2,0,0,0,226,27,Decision,3,3,5:00,1,0
Demetrious Johnson,Miguel Torres,Demetrious Johnson,0,92,63,23,13,5,5,0,1,0,115,95,19,10,1,0,3,2,520,273,Decision,3,3,5:00,1,0
Demetrious Johnson,John Moraga,Demetrious Johnson,0,150,112,95,67,12,12,3,0,0,103,53,76,32,5,1,0,0,816,117,Submission,5,5,3:43,1,0
Demian Maia,Mario Miranda,Demian Maia,0,146,104,49,30,7,5,1,0,0,60,29,41,14,0,0,0,2,592,81,Decision,3,3,5:00,1,0
Demian Maia,Gunnar Nelson,Demian Maia,0,229,193,58,47,8,2,1,1,0,10,7,4,2,1,1,0,2,658,134,Decision,3,3,5:00,1,0
Demian Maia,Chris Weidman,Chris Weidman,0,178,60,169,51,7,0,0,0,0,178,68,166,58,6,4,0,0,0,98,Decision,3,3,5:00,0,1
Demian Maia,Nate Quarry,Demian Maia,0,32,22,4,2,2,1,1,0,0,8,8,0,0,0,0,0,0,105,6,Submission,3,1,2:13,1,0
Demian Maia,Chael Sonnen,Demian Maia,0,17,6,17,6,4,1,1,0,0,34,18,24,8,0,0,0,0,9,87,Submission,3,1,2:37,1,0
Demian Maia,Rick Story,Demian Maia,0,12,9,8,5,5,3,1,0,0,12,10,5,3,0,0,0,0,135,0,Submission,3,1,2:30,1,0
Demian Maia,Alexander Yakovlev,Demian Maia,1,128,83,73,29,3,2,0,0,0,45,24,43,22,2,1,0,1,488,88,Decision,3,3,5:00,1,0
Demian Maia,Nate Marquardt,Nate Marquardt,0,2,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,KO/TKO,3,1,0:21,0,1
Demian Maia,Dan Miller,Demian Maia,0,122,67,77,30,7,4,0,0,0,100,25,95,20,0,0,0,0,316,11,Decision,3,3,5:00,1,0
Demian Maia,Kamaru Usman,Kamaru Usman,0,94,33,87,27,15,0,0,0,1,244,97,209,66,0,0,0,0,121,259,Decision,5,5,5:00,0,1
Demian Maia,Anthony Rocco Martin,Demian Maia,0,86,74,12,3,9,3,0,1,0,109,36,95,22,0,0,0,0,363,71,Decision,3,3,5:00,1,0
Demian Maia,Jake Shields,Jake Shields,0,160,98,75,24,7,3,0,0,0,188,97,112,35,12,1,0,1,319,703,Decision,5,5,5:00,0,1
Demian Maia,Jorge Santiago,Demian Maia,0,159,95,67,24,11,4,0,0,0,70,29,56,18,1,0,0,0,553,29,Decision,3,3,5:00,1,0
Demian Maia,Tyron Woodley,Tyron Woodley,0,90,29,89,28,21,0,0,0,1,153,57,153,57,0,0,0,0,52,6,Decision,5,5,5:00,0,1
Demian Maia,Belal Muhammad,Belal Muhammad,0,55,23,53,21,21,1,0,0,0,177,92,127,45,0,0,0,0,254,0,Decision,3,3,5:00,0,1
Demian Maia,Anderson Silva,Anderson Silva,0,53,11,52,10,13,0,0,0,1,112,62,111,61,0,0,0,0,4,82,Decision,5,5,5:00,0,1
Demian Maia,Jorge Masvidal,Demian Maia,0,93,67,38,23,12,4,0,1,0,80,55,63,39,0,0,0,0,533,53,Decision,3,3,5:00,1,0
Demian Maia,Mark Munoz,Mark Munoz,0,87,40,78,32,7,0,2,0,0,115,75,81,44,7,3,1,0,113,322,Decision,3,3,5:00,0,1
Denis Stojnic,Cain Velasquez,Cain Velasquez,0,41,8,39,7,0,0,1,0,0,183,124,140,88,4,1,0,0,4,208,KO/TKO,3,2,2:34,0,1
Denis Stojnic,Stefan Struve,Stefan Struve,0,85,36,60,16,0,0,0,0,0,43,37,6,4,1,0,7,1,288,128,Submission,3,2,2:37,0,1
Denise Gomes,Loma Lookboonmee,Loma Lookboonmee,0,66,45,34,19,6,0,3,2,0,115,87,67,48,5,4,0,1,331,421,Decision,3,3,5:00,0,1
Denise Gomes,Yazmin Jauregui,Denise Gomes,1,24,21,20,17,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,KO/TKO,3,1,0:20,1,0
Dennis Bermudez,Chan Sung Jung,Chan Sung Jung,0,38,24,34,20,3,0,0,0,1,37,19,35,17,1,0,0,0,20,5,KO/TKO,5,1,2:29,0,1
Dennis Bermudez,Matt Grice,Dennis Bermudez,1,277,181,209,120,9,0,2,0,1,171,91,162,82,12,1,0,0,324,135,Decision,3,3,5:00,1,0
Dennis Bermudez,Andre Fili,Andre Fili,0,227,133,196,103,11,1,0,0,0,242,93,229,80,12,4,0,0,191,50,Decision,3,3,5:00,0,1
Dennis Bermudez,Clay Guida,Dennis Bermudez,0,135,66,114,47,7,2,1,0,0,95,39,79,28,3,0,0,0,130,16,Submission,3,2,2:57,1,0
Dennis Bermudez,Ricardo Lamas,Ricardo Lamas,0,38,16,30,8,1,0,0,0,1,27,16,25,14,0,0,1,1,60,50,Submission,3,1,3:18,0,1
Dennis Bermudez,Diego Brandao,Diego Brandao,1,84,31,78,25,1,1,0,0,1,43,23,39,19,1,1,1,0,61,26,Submission,3,1,4:51,0,1
Dennis Bermudez,Ricky Glenn,Ricky Glenn,0,132,56,114,42,14,6,0,0,0,151,59,137,48,0,0,1,0,258,34,Decision,3,3,5:00,0,1
Dennis Bermudez,Jimy Hettes,Dennis Bermudez,3,180,94,126,55,15,6,1,0,0,88,49,64,34,4,0,0,0,467,87,KO/TKO,3,3,2:57,1,0
Dennis Bermudez,Jeremy Stephens,Jeremy Stephens,0,116,66,82,35,6,1,0,0,2,74,39,73,38,2,0,0,0,297,20,KO/TKO,3,3,0:32,0,1
Dennis Bermudez,Tatsuya Kawajiri,Dennis Bermudez,0,142,120,80,61,5,4,1,0,0,41,27,26,12,7,1,0,1,260,446,Decision,3,3,5:00,1,0
Dennis Bermudez,Pablo Garza,Dennis Bermudez,0,166,114,85,45,9,8,1,0,0,93,57,59,27,2,0,0,0,780,9,Decision,3,3,5:00,1,0
Dennis Bermudez,Darren Elkins,Darren Elkins,0,194,101,160,69,6,1,0,0,0,189,99,154,70,10,3,2,0,156,246,Decision,3,3,5:00,0,1
Dennis Bermudez,Steven Siler,Dennis Bermudez,0,137,74,104,44,10,6,4,1,0,98,44,77,23,0,0,3,0,483,45,Decision,3,3,5:00,1,0
Dennis Bermudez,Rony Jason,Dennis Bermudez,0,127,77,95,48,10,5,0,1,0,48,16,41,9,0,0,0,0,426,52,Decision,3,3,5:00,1,0
Dennis Bermudez,Max Holloway,Dennis Bermudez,0,231,78,225,73,9,4,0,0,0,197,79,193,75,1,0,0,0,208,8,Decision,3,3,5:00,1,0
Dennis Bermudez,Tommy Hayden,Dennis Bermudez,0,32,16,27,12,2,1,2,1,1,31,8,27,6,3,0,0,0,127,28,Submission,3,1,4:43,1,0
Dennis Bermudez,Te Edwards,Dennis Bermudez,0,147,83,122,63,9,5,2,0,1,57,24,56,23,0,0,0,0,42,522,Decision,3,3,5:00,1,0
Dennis Buzukja,Sean Woodson,Sean Woodson,0,121,46,116,42,1,0,0,1,0,229,163,126,71,5,4,0,0,150,352,Decision,3,3,5:00,0,1
Dennis Hallman,Jorge Rivera,Jorge Rivera,0,32,15,29,12,6,1,2,0,0,141,94,92,51,0,0,0,1,169,441,Decision,3,3,5:00,0,1
Dennis Hallman,Frank Trigg,Frank Trigg,0,19,14,6,1,1,0,2,0,0,56,34,41,20,0,0,0,0,0,200,KO/TKO,3,1,4:15,0,1
Dennis Hallman,John Howard,John Howard,0,70,47,24,8,4,2,2,2,1,87,69,22,14,3,2,0,0,550,214,KO/TKO,3,3,4:55,0,1
Dennis Hallman,John Makdessi,Dennis Hallman,0,54,40,32,20,3,1,1,0,0,0,0,0,0,0,0,0,0,166,0,Submission,3,1,2:58,1,0
Dennis Hallman,Ben Saunders,Dennis Hallman,0,132,96,55,28,6,3,0,0,0,72,54,45,30,0,0,1,0,709,0,Decision,3,3,5:00,1,0
Dennis Hallman,Matt Hughes,Dennis Hallman,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,11,Submission,3,1,0:20,1,0
Dennis Hallman,Jens Pulver,Jens Pulver,0,91,56,48,15,12,2,3,0,0,136,100,60,27,0,0,1,0,112,961,Decision,5,5,5:00,0,1
Dennis Hallman,Karo Parisyan,Dennis Hallman,1,22,18,14,10,0,0,0,0,0,9,5,6,2,0,0,0,0,5,58,KO/TKO,3,1,1:47,1,0
Dennis Siver,Andre Winner,Dennis Siver,1,81,37,71,30,1,0,1,0,0,44,13,44,13,0,0,0,0,35,0,Submission,3,1,3:37,1,0
Dennis Siver,Matt Wiman,Dennis Siver,0,213,128,111,31,1,1,0,0,0,86,34,73,26,16,5,2,0,88,454,Decision,3,3,5:00,1,0
Dennis Siver,Cub Swanson,Cub Swanson,0,174,54,144,26,4,1,0,1,1,105,47,101,43,1,1,0,0,194,63,KO/TKO,3,3,2:24,0,1
Dennis Siver,George Sotiropoulos,Dennis Siver,2,231,79,226,74,0,0,0,0,0,204,38,204,38,13,0,0,0,19,8,Decision,3,3,5:00,1,0
Denys Bondar,Carlos Hernandez,Carlos Hernandez,0,176,82,170,76,5,2,0,0,0,239,108,233,102,7,2,0,0,29,40,Decision,3,3,4:59,0,1
Denys Bondar,Malcolm Gordon,Malcolm Gordon,0,5,4,5,4,1,1,0,0,0,15,6,11,3,1,1,1,1,37,15,KO/TKO,3,1,1:22,0,1
Derek Brunson,Lyoto Machida,Derek Brunson,1,24,10,24,10,0,0,0,0,0,10,3,10,3,0,0,0,0,3,0,KO/TKO,5,1,2:30,1,0
Derek Brunson,Yoel Romero,Yoel Romero,0,112,56,94,38,5,3,0,0,0,122,87,94,60,4,0,0,0,176,53,KO/TKO,3,3,3:23,0,1
Derek Brunson,Kevin Holland,Derek Brunson,0,323,226,93,43,12,6,1,0,0,236,190,74,36,1,1,0,0,1015,107,Decision,5,5,5:00,1,0
Derek Brunson,Ed Herman,Derek Brunson,1,18,11,18,11,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,KO/TKO,3,1,0:36,1,0
Derek Brunson,Dricus Du Plessis,Dricus Du Plessis,0,90,43,84,37,2,1,1,1,1,132,84,115,71,2,1,1,0,150,85,KO/TKO,3,2,4:59,0,1
Derek Brunson,Jacare Souza,Jacare Souza,0,34,8,34,8,0,0,0,0,1,21,9,21,9,1,0,0,0,0,4,KO/TKO,5,1,3:50,0,1
Derek Brunson,Ian Heinisch,Derek Brunson,0,207,102,185,81,10,2,0,0,0,150,65,143,58,8,0,0,0,132,0,Decision,3,3,5:00,1,0
Derek Brunson,Darren Till,Derek Brunson,0,145,101,84,41,6,3,1,0,0,53,28,50,26,0,0,0,0,443,4,Submission,5,3,2:13,1,0
Derek Brunson,Robert Whittaker,Robert Whittaker,0,48,25,42,19,3,0,0,0,1,60,35,58,33,0,0,0,0,72,7,KO/TKO,5,1,4:07,0,1
Derek Brunson,Chris Leben,Derek Brunson,0,174,76,130,41,13,4,1,0,0,164,103,94,40,0,0,0,0,441,0,Decision,3,3,5:00,1,0
Derek Brunson,Roan Carneiro,Derek Brunson,0,57,27,51,23,0,0,0,0,0,13,0,13,0,1,0,0,0,42,0,KO/TKO,3,1,2:38,1,0
Derek Brunson,Daniel Kelly,Derek Brunson,1,17,8,17,8,0,0,0,0,0,4,1,4,1,0,0,0,0,2,0,KO/TKO,3,1,1:16,1,0
Derek Brunson,Edmen Shahbazyan,Derek Brunson,0,164,107,145,88,8,4,0,0,0,75,38,72,35,0,0,0,0,186,3,KO/TKO,3,3,0:26,1,0
Derek Brunson,Jared Cannonier,Jared Cannonier,1,103,48,97,43,13,3,1,0,0,96,61,89,55,1,1,0,0,158,5,KO/TKO,3,2,4:29,0,1
Derek Brunson,Elias Theodorou,Derek Brunson,0,103,65,94,56,9,4,0,0,0,194,87,170,65,1,0,0,0,197,10,Decision,3,3,5:00,1,0
Derek Brunson,Lorenz Larkin,Derek Brunson,0,125,98,30,12,12,4,1,0,0,53,32,40,20,0,0,0,0,642,0,Decision,3,3,5:00,1,0
Derek Brunson,Brian Houston,Derek Brunson,1,2,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,30,0,Submission,3,1,0:48,1,0
Derek Brunson,Anderson Silva,Anderson Silva,0,184,118,101,54,10,2,0,0,0,89,54,78,43,0,0,0,0,228,0,Decision,3,3,5:00,0,1
Derek Brunson,Uriah Hall,Derek Brunson,1,18,15,7,4,3,0,0,0,0,6,4,3,1,0,0,0,0,62,0,KO/TKO,3,1,1:41,1,0
Derrick Krantz,Vicente Luque,Vicente Luque,0,23,9,18,6,2,1,0,0,1,25,18,25,18,0,0,0,0,96,36,KO/TKO,3,1,3:52,0,1
Derrick Lewis,Serghei Spivac,Serghei Spivac,0,3,0,3,0,0,0,0,0,0,54,36,21,12,8,6,1,0,0,152,Submission,5,1,3:05,0,1
Derrick Lewis,Aleksei Oleinik,Derrick Lewis,1,42,35,42,35,1,1,0,1,0,7,3,6,2,1,1,2,1,159,141,KO/TKO,5,2,0:21,1,0
Derrick Lewis,Marcin Tybura,Derrick Lewis,2,47,32,45,30,2,1,0,0,0,104,83,56,37,2,1,1,1,136,433,KO/TKO,3,3,2:48,1,0
Derrick Lewis,Jack May,Derrick Lewis,0,31,26,27,22,1,1,0,0,0,24,23,6,5,3,1,0,1,107,111,KO/TKO,3,1,4:23,1,0
Derrick Lewis,Alexander Volkov,Derrick Lewis,1,71,40,70,39,2,0,0,1,0,183,133,171,121,2,1,0,0,43,106,KO/TKO,3,3,4:49,1,0
Derrick Lewis,Ruan Potts,Derrick Lewis,0,91,60,82,53,2,0,0,1,0,40,31,13,7,3,1,1,0,248,100,KO/TKO,3,2,3:18,1,0
Derrick Lewis,Sergei Pavlovich,Sergei Pavlovich,0,6,4,6,4,0,0,0,0,1,24,15,24,15,0,0,0,0,0,2,KO/TKO,3,1,0:55,0,1
Derrick Lewis,Francis Ngannou,Derrick Lewis,0,54,20,54,20,2,0,0,0,0,46,11,46,11,0,0,0,0,1,0,Decision,3,3,5:00,1,0
Derrick Lewis,Matt Mitrione,Matt Mitrione,0,1,1,1,1,0,0,0,0,0,13,9,11,7,0,0,0,0,0,7,KO/TKO,3,1,0:41,0,1
Derrick Lewis,Marcos Rogerio de Lima,Derrick Lewis,1,36,20,33,17,0,0,0,0,0,2,2,1,1,0,0,0,0,29,0,KO/TKO,3,1,0:33,1,0
Derrick Lewis,Tai Tuivasa,Tai Tuivasa,0,47,31,43,27,4,2,0,0,1,47,35,36,24,0,0,0,0,108,126,KO/TKO,3,2,1:40,0,1
Derrick Lewis,Roy Nelson,Derrick Lewis,0,75,39,73,37,0,0,0,0,0,89,66,19,4,10,7,0,0,2,581,Decision,3,3,5:00,1,0
Derrick Lewis,Viktor Pesta,Derrick Lewis,0,74,51,63,41,3,0,0,0,0,61,47,13,8,13,5,0,0,89,429,KO/TKO,3,3,1:15,1,0
Desmond Green,Charles Jourdain,Desmond Green,0,152,85,144,78,4,4,0,0,0,146,55,146,55,0,0,0,0,121,0,Decision,3,3,5:00,1,0
Desmond Green,Rustam Khabilov,Rustam Khabilov,0,119,53,111,47,2,1,0,0,0,109,35,108,34,11,3,0,0,20,65,Decision,3,3,5:00,0,1
Desmond Green,Gleison Tibau,Desmond Green,0,191,77,191,77,0,0,0,0,0,179,29,178,28,3,0,0,0,0,0,Decision,3,3,5:00,1,0
Desmond Green,Mairbek Taisumov,Mairbek Taisumov,0,83,27,83,27,4,0,0,0,0,83,28,82,27,0,0,0,0,0,4,Decision,3,3,5:00,0,1
Desmond Green,Michel Prazeres,Michel Prazeres,0,79,50,61,33,6,3,0,0,0,106,70,72,36,8,3,3,0,165,235,Decision,3,3,5:00,0,1
Desmond Green,Ross Pearson,Desmond Green,1,32,25,32,25,2,1,0,0,0,24,12,24,12,1,0,0,0,8,0,KO/TKO,3,1,2:52,1,0
Devin Clark,Josh Stansbury,Devin Clark,0,176,115,103,47,6,1,0,0,0,114,83,66,36,2,0,2,0,280,231,Decision,3,3,5:00,1,0
Devin Clark,Da Woon Jung,Devin Clark,0,136,96,70,39,11,3,0,0,0,78,43,52,18,5,1,0,0,302,348,Decision,3,3,5:00,1,0
Devin Clark,Ion Cutelaba,Ion Cutelaba,0,130,84,52,23,6,1,0,0,1,138,92,101,64,12,8,0,0,118,528,Decision,3,3,5:00,0,1
Devin Clark,Jake Collier,Devin Clark,0,207,159,105,68,7,4,0,0,0,91,52,72,36,2,0,1,0,465,132,Decision,3,3,5:00,1,0
Devin Clark,Alonzo Menifield,Devin Clark,0,198,150,124,79,10,1,0,0,0,103,54,85,39,2,0,0,0,158,522,Decision,3,3,5:00,1,0
Devin Clark,Ryan Spann,Ryan Spann,0,42,22,37,17,3,2,0,0,0,48,17,48,17,1,0,1,0,38,68,Submission,3,2,2:01,0,1
Devin Clark,Kennedy Nzechukwu,Kennedy Nzechukwu,0,90,61,58,36,4,1,0,0,0,98,79,81,62,1,0,1,0,64,222,Submission,3,2,2:28,0,1
Devin Clark,Aleksandar Rakic,Aleksandar Rakic,1,36,24,31,19,2,0,0,0,1,47,33,45,31,1,0,0,0,50,66,KO/TKO,3,1,4:05,0,1
Devin Clark,Mike Rodriguez,Devin Clark,0,200,167,64,50,11,7,0,0,0,95,66,66,40,0,0,0,0,685,38,Decision,3,3,5:00,1,0
Devin Clark,Darko Stosic,Devin Clark,0,149,90,95,40,11,2,0,0,0,82,50,55,26,3,1,0,0,172,310,Decision,3,3,5:00,1,0
Devin Clark,Alex Nicholson,Alex Nicholson,1,37,30,20,14,1,1,1,0,1,33,20,31,18,0,0,0,0,165,1,KO/TKO,3,1,4:57,0,1
Devin Clark,Dequan Townsend,Devin Clark,0,150,122,54,39,4,3,0,0,0,69,37,36,6,0,0,0,0,606,0,Decision,3,3,5:00,1,0
Devin Clark,Anthony Smith,Anthony Smith,0,30,27,3,1,0,0,0,1,0,8,4,4,1,1,1,1,0,67,78,Submission,5,1,2:34,0,1
Devin Clark,Azamat Murzakanov,Azamat Murzakanov,0,83,39,52,14,0,0,0,0,1,127,95,106,79,1,0,0,0,26,220,KO/TKO,3,3,1:18,0,1
Devin Clark,William Knight,Devin Clark,1,140,125,47,34,5,2,0,0,0,59,39,41,21,1,1,2,0,346,129,KO/TKO,3,3,3:21,1,0
Devonte Smith,Khama Worthy,Khama Worthy,0,27,15,27,15,0,0,0,0,1,51,21,51,21,0,0,0,0,0,2,KO/TKO,3,1,4:15,0,1
Dhiego Lima,Jesse Taylor,Jesse Taylor,1,6,6,4,4,0,0,0,0,0,59,50,24,21,3,2,2,1,0,330,Submission,3,2,0:43,0,1
Dhiego Lima,Tim Means,Tim Means,0,24,7,24,7,1,0,0,0,2,47,25,42,23,0,0,0,0,2,22,KO/TKO,3,1,2:17,0,1
Dhiego Lima,Yushin Okami,Yushin Okami,0,31,17,24,11,0,0,0,0,0,66,57,19,15,13,6,0,0,5,750,Decision,3,3,5:00,0,1
Dhiego Lima,Court McGee,Dhiego Lima,0,161,67,159,65,3,0,0,0,1,232,69,228,65,8,0,0,0,41,60,Decision,3,3,5:00,1,0
Dhiego Lima,Belal Muhammad,Belal Muhammad,0,206,70,203,69,1,0,0,0,0,284,136,264,129,10,1,0,0,0,162,Decision,3,3,5:00,0,1
Diana Belbita,Molly McCann,Molly McCann,0,260,104,252,98,1,1,0,0,0,252,126,238,113,14,5,1,0,86,219,Decision,3,3,5:00,0,1
Diana Belbita,Liana Jojua,Liana Jojua,0,11,6,9,5,2,1,0,0,0,4,3,3,2,0,0,3,0,94,52,Submission,3,1,2:43,0,1
Diana Belbita,Gloria de Paula,Gloria de Paula,0,295,124,252,87,1,0,0,0,0,201,113,175,88,5,1,0,0,44,324,Decision,3,3,5:00,0,1
Diana Belbita,Hannah Goldy,Diana Belbita,1,222,126,211,117,0,0,0,0,0,198,107,182,92,6,2,0,0,6,319,Decision,3,3,5:00,1,0
Diana Belbita,Maria Oliveira,Diana Belbita,0,258,154,208,106,2,1,0,0,0,200,85,168,64,5,2,0,0,124,246,Decision,3,3,5:00,1,0
Diego Brandao,Pablo Garza,Diego Brandao,0,27,18,18,9,0,0,1,0,0,17,6,14,4,2,1,0,0,101,0,Submission,3,1,3:27,1,0
Diego Brandao,Joey Gambino,Diego Brandao,1,133,84,77,33,4,3,0,0,0,129,59,109,39,4,0,1,0,333,37,Decision,3,3,5:00,1,0
Diego Brandao,Conor McGregor,Conor McGregor,0,23,10,22,9,2,0,1,0,1,68,37,49,18,1,1,0,0,22,142,KO/TKO,5,1,4:05,0,1
Diego Brandao,Daniel Pineda,Diego Brandao,0,108,64,86,42,10,8,0,0,0,195,88,160,61,8,0,0,1,266,168,Decision,3,3,5:00,1,0
Diego Brandao,Brian Ortega,Brian Ortega,0,116,61,108,56,3,2,0,0,0,114,33,110,29,1,0,2,0,20,103,Submission,3,3,1:37,0,1
Diego Brandao,Jimy Hettes,Diego Brandao,0,39,25,24,12,3,2,0,0,0,24,17,18,11,3,1,0,1,145,59,"TKO - Doctor's Stoppage",3,1,5:00,1,0
Diego Brandao,Dustin Poirier,Dustin Poirier,0,49,17,48,16,2,1,0,0,1,94,48,87,44,0,0,0,0,12,33,KO/TKO,3,1,4:54,0,1
Diego Brandao,Darren Elkins,Darren Elkins,0,79,46,47,23,0,0,0,0,0,187,115,88,36,6,1,1,0,250,392,Decision,3,3,5:00,0,1
Diego Brandao,Katsunori Kikuno,Diego Brandao,1,19,14,17,14,0,0,0,0,0,1,1,1,1,0,0,0,0,8,2,KO/TKO,3,1,0:28,1,0
Diego Ferreira,Jared Gordon,Diego Ferreira,1,60,29,60,29,0,0,0,0,0,17,8,17,8,1,0,0,0,18,0,KO/TKO,3,1,1:58,1,0
Diego Ferreira,Dustin Poirier,Dustin Poirier,0,56,20,56,20,2,0,0,0,2,56,29,50,24,0,0,0,0,58,46,KO/TKO,3,1,3:45,0,1
Diego Ferreira,Colton Smith,Diego Ferreira,0,10,7,10,7,1,1,1,0,0,3,2,3,2,0,0,0,0,10,10,Submission,3,1,0:38,1,0
Diego Ferreira,Michael Johnson,Diego Ferreira,1,71,30,71,30,2,0,0,0,0,58,32,58,32,0,0,0,0,1,0,KO/TKO,3,2,1:50,1,0
Diego Ferreira,Kyle Nelson,Diego Ferreira,0,112,63,102,54,4,2,1,0,0,50,20,50,20,0,0,0,0,208,14,KO/TKO,3,2,1:23,1,0
Diego Ferreira,Anthony Pettis,Diego Ferreira,0,74,43,53,25,7,3,1,0,0,51,28,45,22,0,0,0,0,234,0,Submission,3,2,1:46,1,0
Diego Ferreira,Mateusz Gamrot,Mateusz Gamrot,0,104,37,101,36,0,0,0,0,0,67,31,58,25,7,4,0,0,0,65,KO/TKO,3,2,3:26,0,1
Diego Ferreira,Ramsey Nijem,Diego Ferreira,1,79,33,70,25,0,0,2,1,0,67,27,58,18,4,2,0,0,47,101,KO/TKO,3,2,1:53,1,0
Diego Ferreira,Mairbek Taisumov,Diego Ferreira,0,329,112,326,109,2,0,0,0,0,160,51,160,51,2,0,0,0,19,1,Decision,3,3,5:00,1,0
Diego Ferreira,Gregor Gillespie,Gregor Gillespie,0,70,37,60,31,2,0,0,2,0,70,53,62,45,8,4,0,0,66,310,KO/TKO,3,2,4:51,0,1
Diego Ferreira,Rustam Khabilov,Diego Ferreira,0,293,91,284,83,0,0,1,0,0,149,44,147,43,12,3,0,0,13,62,Decision,3,3,5:00,1,0
Diego Lopes,Gavin Tucker,Diego Lopes,0,4,0,4,0,0,0,3,0,0,6,0,6,0,1,1,0,0,0,39,Submission,3,1,1:38,1,0
Diego Nunes,Bart Palaszewski,Diego Nunes,2,148,68,137,61,6,3,0,0,0,128,45,119,37,0,0,2,0,351,13,Decision,3,3,5:00,1,0
Diego Nunes,Dennis Siver,Dennis Siver,0,125,49,125,49,0,0,0,0,0,216,78,203,68,6,0,0,0,0,33,Decision,3,3,5:00,0,1
Diego Rivas,Rodolfo Rubio Perez,Diego Rivas,0,77,46,40,15,3,2,0,3,0,86,53,47,17,6,2,0,1,407,193,Decision,3,3,5:00,1,0
Diego Sanchez,Paulo Thiago,Diego Sanchez,0,139,73,112,48,8,2,0,0,0,86,49,65,36,3,1,4,0,552,92,Decision,3,3,5:00,1,0
Diego Sanchez,Joe Stevenson,Diego Sanchez,0,193,91,193,91,4,1,1,0,0,147,43,145,41,4,0,1,1,46,24,Decision,3,3,5:00,1,0
Diego Sanchez,Craig White,Diego Sanchez,0,124,82,77,46,4,3,0,0,1,94,64,42,18,0,0,1,0,860,8,Decision,3,3,5:00,1,0
Diego Saraiva,Jeremy Stephens,Jeremy Stephens,0,93,71,29,11,0,0,2,1,0,154,109,90,50,2,2,0,1,131,591,Decision,3,3,5:00,0,1
Dieusel Berto,Geza Kalman,Geza Kalman,0,11,9,5,3,1,0,0,0,0,64,48,36,21,2,0,1,1,0,0,KO/TKO,1,1,5:57,0,1
Dileno Lopes,Reginaldo Vieira,Reginaldo Vieira,0,146,73,109,46,4,3,3,0,0,179,127,105,59,1,0,2,0,163,207,Decision,3,3,5:00,0,1
Din Thomas,Caol Uno,Caol Uno,0,78,59,24,11,6,3,4,0,0,112,85,56,35,0,0,0,0,210,553,Decision,3,3,5:00,0,1
Dokonjonosuke Mishima,Joe Stevenson,Joe Stevenson,0,13,6,5,1,1,1,0,0,0,2,2,1,1,0,0,3,0,111,0,Submission,3,1,2:07,0,1
Dominick Cruz,Cody Garbrandt,Cody Garbrandt,0,298,95,291,88,7,0,0,0,2,198,71,195,68,4,1,0,0,1,39,Decision,5,5,5:00,0,1
Dominick Cruz,Urijah Faber,Dominick Cruz,1,275,99,261,87,7,3,0,1,0,174,49,159,34,6,1,0,0,206,11,Decision,5,5,5:00,1,0
Dominick Cruz,TJ Dillashaw,Dominick Cruz,0,312,122,302,112,11,4,0,0,0,430,130,408,109,8,1,0,0,33,72,Decision,5,5,5:00,1,0
Dominick Cruz,Takeya Mizugaki,Dominick Cruz,0,35,26,35,26,2,2,0,0,0,11,3,10,2,0,0,0,0,22,0,KO/TKO,3,1,1:01,1,0
Dominick Cruz,Urijah Faber,Dominick Cruz,0,246,97,238,90,13,4,0,1,0,181,58,170,50,5,1,0,0,137,45,Decision,5,5,5:00,1,0
