l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Jeremy Horn,Eugene Jackson,Jeremy Horn,0,29,23,6,2,2,1,1,0,0,18,11,9,2,0,0,0,0,215,0,Submission,3,1,4:32,1,0
Jeremy Horn,Daiju Takase,Jeremy Horn,0,76,51,59,35,0,0,0,0,0,15,1,14,0,1,0,0,0,177,0,KO/TKO,3,1,4:41,1,0
Jeremy Horn,Chuck Liddell,Chuck Liddell,0,87,31,87,31,8,0,0,0,2,191,64,191,64,0,0,0,0,3,77,KO/TKO,5,4,2:46,0,1
Jeremy Horn,Elvis Sinosic,Elvis Sinosic,0,37,28,10,4,0,0,0,0,0,24,21,5,2,0,0,2,0,150,0,Submission,3,1,2:52,0,1
Jeremy Horn,Dean Lister,Dean Lister,0,41,15,28,2,0,0,0,0,0,25,9,22,6,4,1,1,0,75,40,Submission,3,1,3:52,0,1
Jeremy Horn,Chuck Liddell,Jeremy Horn,0,16,13,11,8,7,3,3,0,0,70,58,24,12,0,0,0,1,0,0,Submission,1,1,2:00,1,0
Jeremy Horn,Rousimar Palhares,Rousimar Palhares,0,51,22,36,7,1,1,1,0,0,168,124,35,18,10,7,0,0,57,663,Decision,3,3,5:00,0,1
Jeremy Horn,Chael Sonnen,Jeremy Horn,0,7,5,5,3,0,0,4,0,0,52,34,18,6,3,3,0,0,0,347,Submission,3,2,1:17,1,0
Jeremy Jackson,Pete Spratt,Pete Spratt,0,33,20,14,5,5,2,0,1,0,43,40,15,12,0,0,0,1,202,66,Submission,3,2,1:11,0,1
Jeremy Kennedy,Alex Ricci,Jeremy Kennedy,0,94,43,71,27,14,5,0,0,0,118,83,60,28,2,0,0,0,670,88,Decision,3,3,5:00,1,0
Jeremy Kennedy,Alexander Volkanovski,Alexander Volkanovski,0,29,11,25,8,3,0,0,0,0,158,105,120,73,3,2,0,0,28,475,KO/TKO,3,2,4:57,0,1
Jeremy Kimball,Darko Stosic,Darko Stosic,0,16,4,16,4,1,0,0,0,0,17,9,16,9,0,0,0,0,0,12,KO/TKO,3,1,3:13,0,1
Jeremy Kimball,Dominick Reyes,Dominick Reyes,0,6,4,6,4,4,1,0,0,0,42,27,28,16,1,1,1,0,60,127,Submission,3,1,3:39,0,1
Jeremy Kimball,Josh Stansbury,Jeremy Kimball,1,29,21,25,17,0,0,0,0,0,13,5,12,4,1,0,0,0,8,23,KO/TKO,3,1,1:21,1,0
Jeremy Kimball,Marcos Rogerio de Lima,Marcos Rogerio de Lima,0,17,5,17,5,0,0,0,0,0,25,12,25,12,0,0,0,0,18,4,KO/TKO,3,1,2:27,0,1
Jeremy Larsen,Joe Proctor,Joe Proctor,0,29,13,29,13,0,0,0,0,1,31,13,28,10,0,0,0,0,0,5,KO/TKO,3,1,1:59,0,1
Jeremy Larsen,Lucas Martins,Lucas Martins,1,116,59,108,52,7,2,0,0,1,116,44,111,39,0,0,0,0,205,4,KO/TKO,3,3,0:13,0,1
Jeremy Stephens,Sam Stout,Jeremy Stephens,1,128,64,119,55,5,3,0,0,1,187,76,181,70,1,0,1,0,72,48,Decision,3,3,5:00,1,0
Jeremy Stephens,Cub Swanson,Cub Swanson,0,239,76,228,65,8,2,0,0,0,236,103,219,87,0,0,0,0,193,14,Decision,5,5,5:00,0,1
Jeremy Stephens,Din Thomas,Din Thomas,0,48,19,35,7,0,0,0,1,0,65,35,37,10,2,1,2,0,66,242,Submission,3,2,2:44,0,1
Jeremy Stephens,Gleison Tibau,Gleison Tibau,0,57,40,40,23,0,0,0,0,0,65,46,20,7,13,5,3,0,45,607,Decision,3,3,5:00,0,1
Jermaine Andre,Lance Gibson,Lance Gibson,1,59,39,47,27,0,0,0,0,1,129,102,53,33,4,2,1,0,16,657,KO/TKO,3,3,3:35,0,1
Jerome Rivera,Zhalgas Zhumagulov,Zhalgas Zhumagulov,0,40,11,40,11,1,0,0,0,0,24,10,24,10,0,0,1,0,0,12,Submission,3,1,2:02,0,1
Jerry Bohlander,Rainy Martinez,Jerry Bohlander,0,7,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Submission,1,1,1:24,1,0
Jerry Bohlander,Nick Sanzo,Jerry Bohlander,0,5,3,4,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Submission,1,1,0:39,1,0
Jerry Bohlander,Kevin Jackson,Jerry Bohlander,0,21,9,17,5,2,0,2,0,0,44,35,25,18,2,2,0,0,0,0,Submission,1,1,0:23,1,0
Jerry Bohlander,Tito Ortiz,Tito Ortiz,0,55,39,25,9,0,0,0,0,0,100,59,76,37,7,6,0,0,0,0,"TKO - Doctor's Stoppage",1,2,2:31,0,1
Jerry Bohlander,Scott Ferrozzo,Jerry Bohlander,0,33,27,9,7,0,0,1,0,0,20,17,12,9,4,2,1,0,0,0,Submission,1,1,9:03,1,0
Jerry Bohlander,Gary Goodridge,Gary Goodridge,0,28,18,8,1,1,0,0,1,0,10,7,6,3,1,1,1,1,0,0,KO/TKO,1,1,5:31,0,1
Jerry Bohlander,Fabio Gurgel,Jerry Bohlander,0,189,179,21,18,1,1,0,1,0,16,15,3,2,3,1,1,0,0,0,Decision,1,1,5:00,1,0
Jess Liaudin,Dennis Siver,Jess Liaudin,0,5,1,5,1,0,0,1,0,0,5,4,3,2,1,1,0,0,43,0,Submission,3,1,1:21,1,0
Jess Liaudin,Anthony Torres,Jess Liaudin,2,76,46,67,38,1,0,0,0,0,42,28,26,13,0,0,0,0,58,46,KO/TKO,3,1,4:10,1,0
Jess Liaudin,Paul Taylor,Paul Taylor,0,94,57,70,35,13,7,1,0,1,180,134,86,45,1,1,0,1,537,189,Decision,3,3,5:00,0,1
Jessamyn Duke,Peggy Morgan,Jessamyn Duke,0,265,201,185,123,2,1,3,0,0,158,45,147,34,0,0,0,0,88,352,Decision,3,3,5:00,1,0
Jessamyn Duke,Elizabeth Phillips,Elizabeth Phillips,0,99,54,80,36,3,2,3,2,0,140,83,101,49,4,2,1,0,199,401,Decision,3,3,5:00,0,1
Jessamyn Duke,Leslie Smith,Leslie Smith,0,36,16,36,16,0,0,0,0,1,59,36,59,36,0,0,0,0,0,1,KO/TKO,3,1,2:24,0,1
Jesse Bongfeldt,Chris Weidman,Chris Weidman,0,28,17,12,5,0,0,0,0,0,44,32,17,7,1,1,1,0,0,225,Submission,3,1,4:54,0,1
Jesse Butler,Jim Miller,Jim Miller,0,7,1,7,1,0,0,0,0,1,5,3,5,3,0,0,0,0,0,0,KO/TKO,3,1,0:23,0,1
Jesse Forbes,Ryan Jensen,Ryan Jensen,1,9,3,9,3,1,1,1,0,0,6,3,6,3,0,0,1,0,35,1,Submission,3,1,1:06,0,1
Jesse Forbes,Matt Hamill,Matt Hamill,0,28,16,21,9,0,0,0,0,0,117,93,48,33,1,1,0,0,0,175,KO/TKO,3,1,4:47,0,1
Jesse Lennox,Mike Pyle,Mike Pyle,0,130,45,120,37,1,1,0,0,1,153,77,122,49,5,0,3,1,136,169,Submission,3,3,4:44,0,1
Jesse Lennox,Danillo Villefort,Jesse Lennox,0,121,39,114,37,2,1,0,0,0,118,46,114,43,2,1,1,0,67,62,"TKO - Doctor's Stoppage",3,3,3:37,1,0
Jesse Lennox,Rick Story,Rick Story,0,130,24,128,22,2,1,1,0,0,192,67,172,47,3,2,1,1,63,263,Decision,3,3,5:00,0,1
Jesse Ronson,Francisco Trinaldo,Francisco Trinaldo,0,129,56,126,53,2,0,0,0,0,154,61,148,55,4,1,0,0,36,118,Decision,3,3,5:00,0,1
Jesse Ronson,Joaquim Silva,Joaquim Silva,0,83,39,83,39,1,0,0,0,1,96,51,90,45,0,0,0,0,0,11,KO/TKO,3,2,3:08,0,1
Jessica Aguilar,Jodie Esquibel,Jessica Aguilar,0,209,138,199,128,6,0,0,0,0,190,81,190,81,2,0,0,0,94,87,Decision,3,3,5:00,1,0
Jessica Aguilar,Claudia Gadelha,Claudia Gadelha,0,210,88,189,70,3,0,0,0,0,263,121,248,111,4,4,0,0,47,156,Decision,3,3,5:00,0,1
Jessica Aguilar,Zhang Weili,Zhang Weili,0,14,11,12,9,1,0,0,0,0,79,63,58,45,3,1,2,0,47,150,Submission,3,1,3:41,0,1
Jessica Aguilar,Marina Rodriguez,Marina Rodriguez,0,127,63,114,50,1,0,1,0,1,213,129,202,118,1,0,0,1,100,181,Decision,3,3,5:00,0,1
Jessica Aguilar,Cortney Casey,Cortney Casey,0,154,102,106,57,5,4,0,0,0,368,172,294,103,0,0,0,0,388,81,Decision,3,3,5:00,0,1
Jessica Andrade,Rosi Sexton,Jessica Andrade,0,356,215,344,206,2,1,0,0,0,272,111,245,88,8,1,0,0,102,34,Decision,3,3,5:00,1,0
Jessica Andrade,Tecia Torres,Jessica Andrade,0,237,151,178,92,12,10,0,1,0,171,88,150,69,2,2,0,0,435,23,Decision,3,3,5:00,1,0
Jessica Andrade,Sarah Moras,Jessica Andrade,0,206,158,90,50,4,3,0,0,0,61,23,56,18,8,0,1,0,547,39,Decision,3,3,5:00,1,0
