_id,Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
95,2013,0500000US51620,Franklin city,Virginia,51,620,31928,2679
96,2013,0500000US51540,Charlottesville city,Virginia,51,540,44601,3664
97,2013,0500000US51087,Henrico County,Virginia,51,87,61048,1013
98,2013,0500000US51101,King William County,Virginia,51,101,62670,3400
99,2013,0500000US51109,Louisa County,Virginia,51,109,54518,4024
100,2013,0500000US51119,Middlesex County,Virginia,51,119,53309,4393
101,2013,0500000US51159,Richmond County,Virginia,51,159,47083,6346
102,2013,0500000US51177,Spotsylvania County,Virginia,51,177,78345,2456
103,2013,0500000US51043,Clarke County,Virginia,51,43,77597,6142
104,2013,0500000US51097,King and Queen County,Virginia,51,97,48372,3388
105,2013,0500000US51127,New Kent County,Virginia,51,127,70618,4365
106,2013,0500000US51051,Dickenson County,Virginia,51,51,33318,2122
107,2013,0500000US51107,Loudoun County,Virginia,51,107,122238,1652
108,2013,0500000US51161,Roanoke County,Virginia,51,161,60795,1898
109,2013,0500000US51091,Highland County,Virginia,51,91,49625,7714
110,2013,0500000US51073,Gloucester County,Virginia,51,73,60519,2722
111,2013,0500000US51145,Powhatan County,Virginia,51,145,76548,5576
112,2013,0500000US51061,Fauquier County,Virginia,51,61,88409,3809
113,2013,0500000US51550,Chesapeake city,Virginia,51,550,69743,1753
114,2013,0500000US51003,Albemarle County,Virginia,51,3,67725,2567
115,2013,0500000US51019,Bedford County,Virginia,51,19,57596,2027
116,2013,0500000US51195,Wise County,Virginia,51,195,36218,1642
117,2013,0500000US51740,Portsmouth city,Virginia,51,740,46166,1500
118,2013,0500000US51005,Alleghany County,Virginia,51,5,44848,2336
119,2013,0500000US51640,Galax city,Virginia,51,640,30325,4344
120,2013,0500000US51133,Northumberland County,Virginia,51,133,51342,4369
121,2013,0500000US51187,Warren County,Virginia,51,187,61610,3321
122,2013,0500000US51630,Fredericksburg city,Virginia,51,630,47040,3240
123,2013,0500000US51013,Arlington County,Virginia,51,13,103208,2096
124,2013,0500000US51670,Hopewell city,Virginia,51,670,37933,2313
125,2013,0500000US51069,Frederick County,Virginia,51,69,68424,2800
126,2013,0500000US51199,York County,Virginia,51,199,82073,2253
127,2013,0500000US51125,Nelson County,Virginia,51,125,48789,3464
128,2013,0500000US51143,Pittsylvania County,Virginia,51,143,42143,1383
129,2013,0500000US51610,Falls Church city,Virginia,51,610,120000,10585
130,2013,0500000US51735,Poquoson city,Virginia,51,735,81892,7214
131,2013,0500000US51820,Waynesboro city,Virginia,51,820,44847,2922
132,2013,0500000US51775,Salem city,Virginia,51,775,48733,3207
133,2013,0500000US51710,Norfolk city,Virginia,51,710,44747,1097
134,2013,0500000US51059,Fairfax County,Virginia,51,59,110292,933
135,2014,0500000US51095,James City County,Virginia,51,95,76705,2556
136,2014,0500000US51167,Russell County,Virginia,51,167,34768,3584
137,2014,0500000US51173,Smyth County,Virginia,51,173,37880,1991
138,2014,0500000US51540,Charlottesville city,Virginia,51,540,47218,3095
139,2014,0500000US51031,Campbell County,Virginia,51,31,47055,2629
140,2014,0500000US51087,Henrico County,Virginia,51,87,61438,1048
141,2014,0500000US51099,King George County,Virginia,51,99,83071,5434
142,2014,0500000US51103,Lancaster County,Virginia,51,103,49456,3365
143,2014,0500000US51105,Lee County,Virginia,51,105,31264,1981
144,2014,0500000US51115,Mathews County,Virginia,51,115,63157,6196
145,2014,0500000US51119,Middlesex County,Virginia,51,119,54452,4095
