l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Spike Carlyle,Aalon Cruz,Spike Carlyle,2020-02-29,1,0,-4,4,3,2,-10.16,10.16,0,0,-17.78,17.78,7,5,12,12,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Arlovski,Aaron Brink,Andrei Arlovski,2000-11-17,1,0,-5,5,1.545455,1,0,0,35,-35,2.580002,-2.580002,13,4,56,52,4,-4,0.545454502105713,-0.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0
Matt Hobar,Aaron Phillips,Matt Hobar,2014-08-23,1,0,2,-2,3,2.4,2.540009,-2.540009,0,0,-2.539993,2.539993,775,0,12,17,-5,5,0.599999904632568,-0.599999904632568,0,0,1,0,0,0,1,-1,84,0,84,-84
Gaston Bolanos,Aaron Phillips,Gaston Bolanos,2023-04-15,1,0,-3,3,2.333333,2.4,-5.080002,5.080002,0,0,-5.080002,5.080002,96,361,10,17,-7,7,-6.6666841506958e-02,6.6666841506958e-02,0,0,0,0,0,0,0,0,0,3157,-3157,3157
Robbie Lawler,Aaron Riley,Robbie Lawler,2002-05-10,1,0,-1,1,1.875,2.142857,7.619995,-7.619995,15,-15,12.70001,-12.70001,269,86,46,44,2,-2,-0.267857074737549,0.267857074737549,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Fisher,Aaron Riley,Spencer Fisher,2006-01-16,1,0,4,-4,2.666667,2.142857,-2.540009,2.540009,0,0,-2.539993,2.539993,0,89,33,44,-11,11,0.523809671401978,-0.523809671401978,0,0,0,0,0,0,0,0,0,1347,-1347,1347
Jorge Gurgel,Aaron Riley,Aaron Riley,2008-11-15,0,1,4,-4,1.4,2.142857,-2.540009,2.540009,0,0,0,0,12,147,24,44,-20,20,-0.742857098579407,0.742857098579407,0,0,0,1,0,0,-1,1,133,1034,-901,901
Shane Nelson,Aaron Riley,Shane Nelson,2009-03-07,1,0,-4,4,2.285714,2.142857,2.539993,-2.539993,0,0,2.540009,-2.540009,6,2,23,44,-21,21,0.142857313156128,-0.142857313156128,1,1,0,1,0,0,-1,1,84,112,-28,28
Shane Nelson,Aaron Riley,Aaron Riley,2009-08-08,0,1,-4,4,2.285714,2.142857,2.539993,-2.539993,0,0,2.540009,-2.540009,1,468,23,44,-21,21,0.142857313156128,-0.142857313156128,2,0,0,2,2,-2,-2,2,154,154,0,0
Ross Pearson,Aaron Riley,Ross Pearson,2009-11-14,1,0,-3,3,1.25,2.142857,0,0,0,0,0,0,53,19,36,44,-8,8,-0.892857074737549,0.892857074737549,1,1,0,2,0,0,-2,2,147,98,49,-49
Joe Brammer,Aaron Riley,Aaron Riley,2010-05-29,0,1,-3,3,2.333333,2.142857,0,0,0,0,-0.2599945,0.2599945,33,306,10,44,-34,34,0.190476179122925,-0.190476179122925,0,0,0,3,0,0,-3,3,0,196,-196,196
Tony Ferguson,Aaron Riley,Tony Ferguson,2011-09-24,1,0,-3,3,2.888889,2.142857,7.619995,-7.619995,0,0,17.78,-17.78,2,0,35,44,-9,9,0.746031761169434,-0.746031761169434,1,1,0,3,0,0,-3,3,112,483,-371,371
Joey Beltran,Aaron Rosa,Joey Beltran,2011-06-11,1,0,1,-1,1.214286,3,-7.619995,7.619995,-20,20,-5.080002,5.080002,320,8,31,24,7,-7,-1.78571426868439,1.78571426868439,0,0,0,0,0,0,0,0,259,0,259,-259
Matt Lucas,Aaron Rosa,Aaron Rosa,2011-11-12,0,1,,,5,3,-7.619995,7.619995,0,0,-9.580002,9.580002,412,52,18,24,-6,6,2,-2,0,0,0,1,0,0,-1,1,0,154,-154,154
Tim McKenzie,Aaron Simpson,Aaron Simpson,2009-04-01,0,1,-8,8,1.555556,2.4,0,0,15,-15,2.540009,-2.540009,0,66,23,17,6,-6,-0.844444513320923,0.844444513320923,0,0,0,0,0,0,0,0,0,0,0,0
Ed Herman,Aaron Simpson,Aaron Simpson,2009-08-29,0,1,-7,7,1.6875,2.4,2.539993,-2.539993,35,-35,10.16,-10.16,0,186,43,17,26,-26,-0.712500095367432,0.712500095367432,1,1,0,0,0,0,0,0,133,150,-17,17
Tom Lawlor,Aaron Simpson,Aaron Simpson,2010-01-11,0,1,-9,9,1.666667,2.4,0,0,35,-35,2.540009,-2.540009,157,268,16,17,-1,1,-0.733333468437195,0.733333468437195,0,2,0,0,-2,2,0,0,0,135,-135,135
Chris Leben,Aaron Simpson,Chris Leben,2010-06-19,1,0,-6,6,2,2.4,-2.540009,2.540009,15,-15,0,0,44,224,33,17,16,-16,-0.400000095367432,0.400000095367432,1,3,1,0,-2,2,1,-1,159,159,0,0
Mark Munoz,Aaron Simpson,Mark Munoz,2010-11-20,1,0,-4,4,2.333333,2.4,0,0,15,-15,-5.080002,5.080002,177,194,20,17,3,-3,-6.6666841506958e-02,6.6666841506958e-02,0,0,0,1,0,0,-1,1,111,154,-43,43
Mario Miranda,Aaron Simpson,Aaron Simpson,2011-03-26,0,1,-5,5,2,2.4,7.619995,-7.619995,15,-15,2.540009,-2.540009,69,761,21,17,4,-4,-0.400000095367432,0.400000095367432,0,0,0,1,0,0,-1,1,0,126,-126,126
Eric Schafer,Aaron Simpson,Aaron Simpson,2011-10-08,0,1,-3,3,1.75,2.4,7.619995,-7.619995,15,-15,7.619995,-7.619995,0,30,22,17,5,-5,-0.650000095367432,0.650000095367432,0,1,0,1,-1,1,-1,1,0,196,-196,196
Ronny Markes,Aaron Simpson,Ronny Markes,2012-02-15,1,0,-14,14,3.4,2.4,2.539993,-2.539993,15,-15,5.080002,-5.080002,319,148,22,17,5,-5,1,-1,1,2,0,1,-1,1,-1,1,185,130,55,-55
Kenny Robertson,Aaron Simpson,Aaron Simpson,2012-07-11,0,1,-9,9,3,2.4,-5.080002,5.080002,0,0,2.540009,-2.540009,82,625,20,17,3,-3,0.599999904632568,-0.599999904632568,0,0,0,1,0,0,-1,1,0,147,-147,147
Mike Pierce,Aaron Simpson,Mike Pierce,2012-10-05,1,0,-6,6,2.428571,2.4,-10.16,10.16,0,0,-5.080002,5.080002,69,47,24,17,7,-7,2.85713672637939e-02,-2.85713672637939e-02,1,1,0,1,0,0,-1,1,608,86,522,-522
Cody McKenzie,Aaron Wilkinson,Cody McKenzie,2010-12-04,1,0,-1,1,1.6,1.571429,5.080002,-5.080002,0,0,2.880005,-2.880005,52,64,26,18,8,-8,2.85714864730835e-02,-2.85714864730835e-02,0,0,0,0,0,0,0,0,0,0,0,0
Omari Akhmedov,Abdul Razak Alhassan,Omari Akhmedov,2017-05-28,1,0,-2,2,3.5,2.4,5.080002,-5.080002,0,0,0,0,340,1,27,17,10,-10,1.09999990463257,-1.09999990463257,1,0,2,0,1,-1,2,-2,183,0,183,-183
Sabah Homasi,Abdul Razak Alhassan,Abdul Razak Alhassan,2017-12-02,0,1,-3,3,1.375,2.4,5.080002,-5.080002,-15,15,-2.539993,2.539993,11,137,19,17,2,-2,-1.02500009536743,1.02500009536743,0,0,1,0,0,0,1,-1,469,188,281,-281
Sabah Homasi,Abdul Razak Alhassan,Abdul Razak Alhassan,2018-01-20,0,1,-3,3,1.375,2.4,5.080002,-5.080002,-15,15,-2.539993,2.539993,64,2,19,17,2,-2,-1.02500009536743,1.02500009536743,0,1,2,0,-1,1,2,-2,49,49,0,0
Niko Price,Abdul Razak Alhassan,Abdul Razak Alhassan,2018-09-08,0,1,-5,5,2.142857,2.4,5.080002,-5.080002,-15,15,7.619995,-7.619995,0,2,22,17,5,-5,-0.257143020629883,0.257143020629883,2,2,0,0,0,0,0,0,224,231,-7,7
Mounir Lazzez,Abdul Razak Alhassan,Mounir Lazzez,2020-07-15,1,0,-2,2,3.666667,2.4,7.619995,-7.619995,-15,15,7.619995,-7.619995,292,91,14,17,-3,3,1.26666665077209,-1.26666665077209,0,3,0,0,-3,3,0,0,0,676,-676,676
Jacob Malkoun,Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,1,0,-10,10,2.333333,2.4,-2.540009,2.540009,0,0,0,0,701,2,10,17,-7,7,-6.6666841506958e-02,6.6666841506958e-02,0,0,0,0,0,0,0,0,0,276,-276,276
Alessio Di Chirico,Abdul Razak Alhassan,Abdul Razak Alhassan,2021-08-28,0,1,-5,5,1.857143,2.4,5.080002,-5.080002,0,0,2.540009,-2.540009,0,0,20,17,3,-3,-0.54285728931427,0.54285728931427,0,0,0,0,0,0,0,0,700,133,567,-567
Joaquin Buckley,Abdul Razak Alhassan,Joaquin Buckley,2022-02-19,1,0,-9,9,2.666667,2.4,0,0,-15,15,7.619995,-7.619995,125,214,22,17,5,-5,0.266666650772095,-0.266666650772095,0,1,2,0,-1,1,2,-2,399,175,224,-224
Marcus LeVesseur,Abel Trujillo,Abel Trujillo,2012-12-08,0,1,1,-1,3.142857,1.875,2.539993,-2.539993,0,0,0,0,248,183,29,23,6,-6,1.26785707473755,-1.26785707473755,1,0,0,0,1,-1,0,0,64,0,64,-64
Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,2013-05-25,1,0,-5,5,29,1.875,5.080002,-5.080002,0,0,0,0,629,97,29,23,6,-6,27.125,-27.125,3,1,0,0,2,-2,0,0,126,168,-42,42
Roger Bowling,Abel Trujillo,Abel Trujillo,2013-12-14,0,1,1,-1,2,1.875,2.539993,-2.539993,0,0,-5.080002,5.080002,42,132,18,23,-5,5,0.125,-0.125,0,0,1,0,0,0,1,-1,238,203,35,-35
Tony Ferguson,Abel Trujillo,Tony Ferguson,2014-12-06,1,0,-1,1,2.888889,1.875,7.619995,-7.619995,0,0,15.23999,-15.23999,122,122,35,23,12,-12,1.01388883590698,-1.01388883590698,2,1,0,0,1,-1,0,0,196,357,-161,161
Gleison Tibau,Abel Trujillo,Abel Trujillo,2015-11-07,0,1,0,0,2.357143,1.875,5.080002,-5.080002,0,0,2.539993,-2.539993,87,2,47,23,24,-24,0.482142925262451,-0.482142925262451,3,0,0,0,3,-3,0,0,798,336,462,-462
Tony Sims,Abel Trujillo,Abel Trujillo,2016-01-02,0,1,-2,2,3,1.875,7.619995,-7.619995,0,0,0,0,12,17,16,23,-7,7,1.125,-1.125,0,1,0,0,-1,1,0,0,0,56,-56,56
Jordan Rinaldi,Abel Trujillo,Abel Trujillo,2016-05-29,0,1,-4,4,2,1.875,5.080002,-5.080002,-10,10,5.080002,-5.080002,232,244,21,23,-2,2,0.125,-0.125,0,2,0,0,-2,2,0,0,0,148,-148,148
John Makdessi,Abel Trujillo,John Makdessi,2017-12-16,1,0,-2,2,2,1.875,0,0,0,0,-5.080002,5.080002,0,97,27,23,4,-4,0.125,-0.125,0,3,1,0,-3,3,1,-1,371,566,-195,195
Chris Gruetzemacher,Abner Lloveras,Chris Gruetzemacher,2015-12-11,1,0,-4,4,3,2.222222,-7.619995,7.619995,0,0,-10.28,10.28,30,171,20,29,-9,9,0.777777671813965,-0.777777671813965,0,0,0,0,0,0,0,0,0,0,0,0
Jared Gooden,Abubakar Nurmagomedov,Abubakar Nurmagomedov,2021-03-27,0,1,-4,4,2.444444,4.25,2.540009,-2.540009,0,0,12.7,-12.7,0,258,31,21,10,-10,-1.80555558204651,1.80555558204651,0,0,0,0,0,0,0,0,126,0,126,-126
Chris de la Rocha,Adam Milstead,Adam Milstead,2016-05-29,0,1,9,-9,1.666667,2,0,0,45,-45,10.16,-10.16,178,20,8,12,-4,4,-0.333333373069763,0.333333373069763,0,0,1,0,0,0,1,-1,316,0,316,-316
Jordan Johnson,Adam Milstead,Jordan Johnson,2018-03-03,1,0,-1,1,10,2,-2.539993,2.539993,0,0,7.62001,-7.62001,433,0,10,12,-2,2,8,-8,0,1,0,0,-1,1,0,0,0,643,-643,643
Anthony Hamilton,Adam Wieczorek,Adam Wieczorek,2017-11-18,0,1,12,-12,1.666667,5,0,0,10,-10,-12.70001,12.70001,419,131,24,12,12,-12,-3.33333337306976,3.33333337306976,0,0,1,0,0,0,1,-1,63,0,63,-63
Arjan Bhullar,Adam Wieczorek,Adam Wieczorek,2018-04-14,0,1,5,-5,9,5,-10.16,10.16,-5,5,-15.24001,15.24001,318,0,10,12,-2,2,4,-4,1,1,0,0,0,0,0,0,217,147,70,-70
Marcos Rogerio de Lima,Adam Wieczorek,Marcos Rogerio de Lima,2018-11-03,1,0,7,-7,2.1,5,-10.16,10.16,3,-3,-15.24001,15.24001,501,135,31,12,19,-19,-2.90000009536743,2.90000009536743,0,2,0,0,-2,2,0,0,560,203,357,-357
Jordan Johnson,Adam Yandiev,Jordan Johnson,2018-09-15,1,0,-1,1,10,9,12.70001,-12.70001,20,-20,12.7,-12.7,215,0,10,10,0,0,1,-1,1,0,0,0,1,-1,0,0,196,0,196,-196
Shonie Carter,Adrian Serrano,Shonie Carter,2000-06-09,1,0,-8,8,1.645161,1.931034,5.080002,-5.080002,0,0,3,-3,120,187,82,85,-3,3,-0.285873174667358,0.285873174667358,1,0,0,0,1,-1,0,0,91,0,91,-91
Victor Rodriguez,Adrian Yanez,Adrian Yanez,2020-10-31,0,1,2,-2,1.75,4,-5.079987,5.079987,-10,10,-7.62001,7.62001,54,5,11,20,-9,9,-2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Lopez,Adrian Yanez,Adrian Yanez,2021-03-20,0,1,4,-4,2,4,-5.079987,5.079987,0,0,-7.62001,7.62001,0,3,18,20,-2,2,-2,2,0,1,0,0,-1,1,0,0,0,140,-140,140
Randy Costa,Adrian Yanez,Adrian Yanez,2021-07-24,0,1,0,0,1.5,4,5.080002,-5.080002,0,0,7.619995,-7.619995,0,4,10,20,-10,10,-2.5,2.5,2,2,0,0,0,0,0,0,308,126,182,-182
Davey Grant,Adrian Yanez,Adrian Yanez,2021-11-20,0,1,8,-8,2.142857,4,2.540009,-2.540009,0,0,-2.540009,2.540009,10,0,22,20,2,-2,-1.85714292526245,1.85714292526245,0,3,0,0,-3,3,0,0,154,119,35,-35
Tony Kelley,Adrian Yanez,Adrian Yanez,2022-06-18,0,1,7,-7,2.666667,4,5.080002,-5.080002,0,0,0,0,2,4,11,20,-9,9,-1.33333325386047,1.33333325386047,0,4,0,0,-4,4,0,0,0,210,-210,210
Rob Font,Adrian Yanez,Rob Font,2023-04-08,1,0,6,-6,2.857143,4,2.540009,-2.540009,0,0,2.539993,-2.539993,4,0,27,20,7,-7,-1.14285707473755,1.14285707473755,0,5,0,0,-5,5,0,0,343,294,49,-49
Daron Cruickshank,Adriano Martins,Adriano Martins,2013-11-09,0,1,-2,2,1.8,3.111111,-5.080002,5.080002,0,0,0,0,0,244,28,37,-9,9,-1.31111121177673,1.31111121177673,1,0,0,0,1,-1,0,0,105,0,105,-105
Donald Cerrone,Adriano Martins,Donald Cerrone,2014-01-25,1,0,-1,1,2.117647,3.111111,7.619995,-7.619995,0,0,2.539993,-2.539993,6,0,53,37,16,-16,-0.99346399307251,0.99346399307251,1,1,1,0,0,0,1,-1,70,77,-7,7
Juan Manuel Puig,Adriano Martins,Adriano Martins,2014-07-06,0,1,-6,6,2.75,3.111111,-2.540009,2.540009,-10,10,-4.880005,4.880005,0,3,15,37,-22,22,-0.361111164093018,0.361111164093018,0,0,0,1,0,0,-1,1,0,162,-162,162
Rustam Khabilov,Adriano Martins,Adriano Martins,2015-02-22,0,1,-4,4,6,3.111111,-5.080002,5.080002,0,0,2.539993,-2.539993,7,118,28,37,-9,9,2.88888883590698,-2.88888883590698,3,1,0,1,2,-2,-1,1,473,231,242,-242
Islam Makhachev,Adriano Martins,Adriano Martins,2015-10-03,0,1,-9,9,24,3.111111,0,0,0,0,-5.080002,5.080002,2,0,25,37,-12,12,20.888888835907,-20.888888835907,0,2,0,1,-2,2,-1,1,0,223,-223,223
Kajan Johnson,Adriano Martins,Kajan Johnson,2017-09-09,1,0,-1,1,1.769231,3.111111,2.539993,-2.539993,0,0,7.619995,-7.619995,1,10,36,37,-1,1,-1.34188044071198,1.34188044071198,2,3,0,1,-1,1,-1,1,714,707,7,-7
Tulio Palhares,Adriano Santos,Tulio Palhares,1998-10-16,1,0,,,0.125,0,,,,,-10,10,0,0,18,1,17,-17,0.125,-0.125,0,0,0,0,0,0,0,0,0,0,0,0
Reginaldo Vieira,Aiemann Zahabi,Aiemann Zahabi,2017-02-19,0,1,5,-5,2.6,5,-2.540009,2.540009,0,0,-7.619995,7.619995,143,12,18,12,6,-6,-2.40000009536743,2.40000009536743,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Ramos,Aiemann Zahabi,Ricardo Ramos,2017-11-04,1,0,-7,7,3.2,5,2.539993,-2.539993,10,-10,10.16,-10.16,37,100,21,12,9,-9,-1.79999995231628,1.79999995231628,1,1,0,0,0,0,0,0,273,258,15,-15
Vince Morales,Aiemann Zahabi,Vince Morales,2019-05-04,1,0,-3,3,1.571429,5,2.539993,-2.539993,0,0,5.080002,-5.080002,0,38,18,12,6,-6,-3.42857146263123,3.42857146263123,0,0,0,1,0,0,-1,1,161,546,-385,385
Drako Rodriguez,Aiemann Zahabi,Aiemann Zahabi,2021-02-20,0,1,-9,9,2.333333,5,0,0,0,0,2.539993,-2.539993,0,10,10,12,-2,2,-2.66666674613953,2.66666674613953,0,0,0,1,0,0,-1,1,0,658,-658,658
Ricky Turcios,Aiemann Zahabi,Aiemann Zahabi,2022-07-09,0,1,-5,5,4.333333,5,2.539993,-2.539993,0,0,7.619995,-7.619995,0,0,16,12,4,-4,-0.666666507720947,0.666666507720947,0,1,0,1,-1,1,-1,1,0,504,-504,504
Stephanie Egger,Ailin Perez,Stephanie Egger,2022-09-03,1,0,7,-7,2,4,2.539993,-2.539993,-10,10,5.080002,-5.080002,419,93,12,10,2,-2,-2,2,1,0,0,0,1,-1,0,0,336,0,336,-336
Ashlee Evans-Smith,Ailin Perez,Ailin Perez,2023-07-15,0,1,8,-8,1,4,7.619995,-7.619995,0,0,2.539993,-2.539993,8,696,12,10,2,-2,-3,3,0,0,0,0,0,0,0,0,1609,315,1294,-1294
Alex Chambers,Aisling Daly,Aisling Daly,2014-12-12,0,1,10,-10,1,2.666667,2.540009,-2.540009,0,0,-2.539993,2.539993,74,185,10,22,-12,12,-1.66666674613953,1.66666674613953,0,0,0,0,0,0,0,0,0,0,0,0
Ericka Almeida,Aisling Daly,Aisling Daly,2015-10-24,0,1,-1,1,2.333333,2.666667,10.16,-10.16,0,0,8.440002,-8.440002,180,668,10,22,-12,12,-0.333333492279053,0.333333492279053,0,1,0,0,-1,1,0,0,147,316,-169,169
Bryan Battle,AJ Fletcher,Bryan Battle,2023-09-23,1,0,3,-3,5.5,3.333333,7.619995,-7.619995,0,0,25.40001,-25.40001,210,33,13,13,0,0,2.16666674613953,-2.16666674613953,1,0,0,0,1,-1,0,0,133,0,133,-133
Jon Fitch,Akihiro Gono,Jon Fitch,2009-01-31,1,0,-4,4,4.285714,1.666667,12.70001,-12.70001,0,0,15.24001,-15.24001,608,121,37,56,-19,19,2.61904752254486,-2.61904752254486,0,0,0,0,0,0,0,0,175,0,175,-175
Maximo Blanco,Akira Corassani,Akira Corassani,2013-11-30,0,1,-1,1,1.5,2,0,0,0,0,7.619995,-7.619995,14,0,20,18,2,-2,-0.5,0.5,1,0,0,0,1,-1,0,0,231,0,231,-231
Michael Chiesa,Al Iaquinta,Michael Chiesa,2012-06-01,1,0,-1,1,2.571429,2,7.619995,-7.619995,15,-15,12.7,-12.7,65,0,25,21,4,-4,0.571428537368774,-0.571428537368774,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Couture,Al Iaquinta,Al Iaquinta,2013-08-31,0,1,5,-5,2.2,2,0,0,0,0,7.619995,-7.619995,68,53,16,21,-5,5,0.200000047683716,-0.200000047683716,0,0,1,0,0,0,1,-1,147,456,-309,309
Piotr Hallmann,Al Iaquinta,Al Iaquinta,2013-10-26,0,1,0,0,3,2,-2.540009,2.540009,0,0,2.539993,-2.539993,24,174,24,21,3,-3,1,-1,1,1,0,0,0,0,0,0,52,56,-4,4
Mitch Clarke,Al Iaquinta,Mitch Clarke,2014-05-24,1,0,1,-1,2.2,2,0,0,0,0,7.619995,-7.619995,10,271,16,21,-5,5,0.200000047683716,-0.200000047683716,1,2,0,0,-1,1,0,0,343,210,133,-133
Rodrigo Damm,Al Iaquinta,Al Iaquinta,2014-09-05,0,1,7,-7,1.444444,2,-7.62001,7.62001,0,0,2.539993,-2.539993,10,6,22,21,1,-1,-0.555555582046509,0.555555582046509,0,0,0,0,0,0,0,0,97,104,-7,7
Donald Cerrone,Al Iaquinta,Donald Cerrone,2019-05-04,1,0,4,-4,2.117647,2,7.619995,-7.619995,0,0,7.619995,-7.619995,22,0,53,21,32,-32,0.117647171020508,-0.117647171020508,2,1,4,0,1,-1,4,-4,105,1702,-1597,1597
Dan Hooker,Al Iaquinta,Dan Hooker,2019-10-05,1,0,-3,3,1.916667,2,5.080002,-5.080002,0,0,12.7,-12.7,149,24,35,21,14,-14,-8.33333730697632e-02,8.33333730697632e-02,3,0,0,0,3,-3,0,0,77,154,-77,77
Bobby Green,Al Iaquinta,Bobby Green,2021-11-06,1,0,1,-1,2.142857,2,0,0,0,0,2.539993,-2.539993,15,0,44,21,23,-23,0.142857074737549,-0.142857074737549,0,0,1,0,0,0,1,-1,371,763,-392,392
Tom Aspinall,Alan Baudot,Tom Aspinall,2020-10-10,1,0,-5,5,4.333333,2.666667,5.080002,-5.080002,13,-13,-2.540009,2.540009,30,0,16,11,5,-5,1.66666674613953,-1.66666674613953,1,0,0,0,1,-1,0,0,77,0,77,-77
Yoshihiro Akiyama,Alan Belcher,Yoshihiro Akiyama,2009-07-11,1,0,8,-8,2.333333,2.25,-10.16,10.16,-15,15,0,0,191,44,20,26,-6,6,8.33332538604736e-02,-8.33332538604736e-02,0,0,0,0,0,0,0,0,0,0,0,0
Seth Baczynski,Alan Jouban,Alan Jouban,2014-08-16,0,1,0,0,1.428571,2.428571,7.619995,-7.619995,0,0,5.080002,-5.080002,43,17,34,24,10,-10,-1,1,1,0,1,0,1,-1,1,-1,283,0,283,-283
Warlley Alves,Alan Jouban,Warlley Alves,2014-11-08,1,0,-9,9,2.5,2.428571,-2.540009,2.540009,0,0,-2.539993,2.539993,240,35,21,24,-3,3,7.14285373687744e-02,-7.14285373687744e-02,0,1,0,0,-1,1,0,0,0,84,-84,84
Matt Dwyer,Alan Jouban,Alan Jouban,2015-07-15,0,1,-8,8,2.25,2.428571,10.15999,-10.15999,0,0,7.619995,-7.619995,14,173,13,24,-11,11,-0.178571462631226,0.178571462631226,1,0,1,0,1,-1,1,-1,143,249,-106,106
Dwight Grant,Alan Jouban,Dwight Grant,2019-04-13,1,0,-3,3,1.833333,2.428571,2.539993,-2.539993,15,-15,7.619995,-7.619995,0,29,17,24,-7,7,-0.595238089561462,0.595238089561462,1,1,0,0,0,0,0,0,49,1368,-1319,1319
Jared Gooden,Alan Jouban,Alan Jouban,2020-11-21,0,1,-12,12,2.444444,2.428571,0,0,0,0,10.16,-10.16,66,10,31,24,7,-7,1.58729553222656e-02,-1.58729553222656e-02,0,0,0,0,0,0,0,0,0,588,-588,588
Jim Alers,Alan Omer,Jim Alers,2014-04-11,1,0,2,-2,4.333333,4,-2.540009,2.540009,0,0,20.34,-20.34,386,181,16,25,-9,9,0.333333492279053,-0.333333492279053,0,0,0,0,0,0,0,0,0,0,0,0
Arnold Allen,Alan Omer,Arnold Allen,2015-06-20,1,0,-5,5,9.5,4,-5.080002,5.080002,0,0,17.8,-17.8,133,207,21,25,-4,4,5.5,-5.5,0,0,0,0,0,0,0,0,0,435,-435,435
John Makdessi,Alan Patrick,Alan Patrick,2014-02-01,0,1,-2,2,2,3.75,-7.619995,7.619995,0,0,-15.24001,15.24001,1,100,27,19,8,-8,-1.75,1.75,1,0,0,0,1,-1,0,0,441,0,441,-441
Damien Brown,Alan Patrick,Alan Patrick,2016-03-19,0,1,-1,1,1.416667,3.75,-2.539993,2.539993,0,0,-15.24001,15.24001,36,741,29,19,10,-10,-2.33333337306976,2.33333337306976,0,1,0,0,-1,1,0,0,0,777,-777,777
Damir Hadzovic,Alan Patrick,Alan Patrick,2018-02-03,0,1,-3,3,2,3.75,-5.080002,5.080002,0,0,-10.16,10.16,48,746,21,19,2,-2,-1.75,1.75,1,2,1,0,-1,1,1,-1,251,686,-435,435
Scott Holtzman,Alan Patrick,Scott Holtzman,2018-10-06,1,0,0,0,2.333333,3.75,-5.080002,5.080002,0,0,-12.70001,12.70001,336,13,20,19,1,-1,-1.41666674613953,1.41666674613953,3,3,0,0,0,0,0,0,301,245,56,-56
Bobby Green,Alan Patrick,Bobby Green,2020-09-12,1,0,-3,3,2.142857,3.75,-2.539993,2.539993,0,0,-7.62001,7.62001,451,103,44,19,25,-25,-1.60714292526245,1.60714292526245,2,0,1,1,2,-2,0,0,42,707,-665,665
Michael Johnson,Alan Patrick,Michael Johnson,2022-05-14,1,0,-3,3,1.157895,3.75,-2.539993,2.539993,0,0,-2.540009,2.540009,121,12,41,19,22,-22,-2.59210526943207,2.59210526943207,0,0,0,1,0,0,-1,1,731,609,122,-122
Joaquin Buckley,Albert Duraev,Joaquin Buckley,2022-06-18,1,0,-5,5,2.666667,3.2,-2.539993,2.539993,-15,15,2.539993,-2.539993,22,108,22,21,1,-1,-0.533333301544189,0.533333301544189,1,0,2,0,1,-1,2,-2,119,0,119,-119
Thomas Almeida,Albert Morales,Thomas Almeida,2016-11-19,1,0,0,0,4.4,1.75,-5.080002,5.080002,10,-10,-5.080002,5.080002,6,36,27,11,16,-16,2.65000009536743,-2.65000009536743,0,0,1,0,0,0,1,-1,174,0,174,-174
Brett Johns,Albert Morales,Brett Johns,2017-07-16,1,0,-1,1,8.5,1.75,-5.080002,5.080002,0,0,-2.540009,2.540009,693,0,19,11,8,-8,6.75,-6.75,0,0,0,1,0,0,-1,1,0,239,-239,239
Benito Lopez,Albert Morales,Benito Lopez,2017-12-09,1,0,-3,3,5,1.75,2.540009,-2.540009,0,0,2.539993,-2.539993,53,182,12,11,1,-1,3.25,-3.25,0,0,0,1,0,0,-1,1,0,146,-146,146
Manny Bermudez,Albert Morales,Manny Bermudez,2018-02-24,1,0,-3,3,7,1.75,2.540009,-2.540009,10,-10,-2.540009,2.540009,116,220,16,11,5,-5,5.25,-5.25,0,0,0,1,0,0,-1,1,0,77,-77,77
Ildemar Alcantara,Albert Tumenov,Ildemar Alcantara,2014-02-15,1,0,9,-9,1.909091,4.5,7.62001,-7.62001,15,-15,12.7,-12.7,321,135,32,22,10,-10,-2.59090912342072,2.59090912342072,0,0,0,0,0,0,0,0,129,0,129,-129
Anthony Lapsley,Albert Tumenov,Albert Tumenov,2014-05-10,0,1,12,-12,3.285714,4.5,-5.080002,5.080002,0,0,-7.419998,7.419998,2,1,30,22,8,-8,-1.21428561210632,1.21428561210632,0,0,0,0,0,0,0,0,0,84,-84,84
Matt Dwyer,Albert Tumenov,Albert Tumenov,2014-10-04,0,1,2,-2,2.25,4.5,12.7,-12.7,0,0,7.619995,-7.619995,5,2,13,22,-9,9,-2.25,2.25,0,1,0,0,-1,1,0,0,0,147,-147,147
