l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Edson Barboza,Beneil Dariush,Edson Barboza,2017-03-11,1,0,4,-4,2.090909,4.4,2.539993,-2.539993,-10,10,7.619995,-7.619995,3,0,34,27,7,-7,-2.30909109115601,2.30909109115601,2,0,1,0,2,-2,1,-1,231,329,-98,98
Frank Camacho,Beneil Dariush,Beneil Dariush,2019-10-26,0,1,0,0,2.2,4.4,0,0,0,0,2.539993,-2.539993,0,45,32,27,5,-5,-2.20000004768372,2.20000004768372,1,0,1,1,1,-1,0,0,147,959,-812,812
Manny Bermudez,Benito Lopez,Manny Bermudez,2019-02-17,1,0,0,0,7,5,0,0,10,-10,-5.080002,5.080002,92,59,16,12,4,-4,2,-2,2,0,0,0,2,-2,0,0,210,0,210,-210
Mario Bautista,Benito Lopez,Mario Bautista,2022-11-05,1,0,1,-1,6.5,5,-2.540009,2.540009,0,0,-10.16,10.16,156,0,15,12,3,-3,1.5,-1.5,2,0,1,0,2,-2,1,-1,133,1357,-1224,1224
Gabriel Miranda,Benoit Saint Denis,Benoit Saint Denis,2022-09-03,0,1,6,-6,2.833333,12,0,0,-10,10,-5.080002,5.080002,20,197,23,13,10,-10,-9.16666674613953,9.16666674613953,0,0,0,0,0,0,0,0,0,0,0,0
Ismael Bonfim,Benoit Saint Denis,Benoit Saint Denis,2023-07-01,0,1,0,0,4.75,12,-7.619995,7.619995,0,0,-5.080002,5.080002,10,177,23,13,10,-10,-7.25,7.25,1,1,0,0,0,0,0,0,161,301,-140,140
Thiago Moises,Benoit Saint Denis,Benoit Saint Denis,2023-09-02,0,1,1,-1,2.428571,12,-5.080002,5.080002,0,0,-7.619995,7.619995,14,320,24,13,11,-11,-9.57142853736877,9.57142853736877,0,2,0,0,-2,2,0,0,0,63,-63,63
Mark Bocek,Benson Henderson,Benson Henderson,2011-04-30,0,1,2,-2,2.4,3.428571,-2.539993,2.539993,-15,15,12.7,-12.7,267,332,17,31,-14,14,-1.02857136726379,1.02857136726379,1,0,1,0,1,-1,1,-1,140,0,140,-140
Clay Guida,Benson Henderson,Benson Henderson,2011-11-12,0,1,2,-2,1.9,3.428571,-5.080002,5.080002,-15,15,0,0,169,447,58,31,27,-27,-1.52857148647308,1.52857148647308,1,1,0,0,0,0,0,0,161,196,-35,35
Frankie Edgar,Benson Henderson,Benson Henderson,2012-02-25,0,1,2,-2,2.090909,3.428571,-7.619995,7.619995,-35,35,-5.080002,5.080002,128,37,34,31,3,-3,-1.3376624584198,1.3376624584198,6,2,0,0,4,-4,0,0,140,105,35,-35
Frankie Edgar,Benson Henderson,Benson Henderson,2012-08-11,0,1,2,-2,2.090909,3.428571,-7.619995,7.619995,-35,35,-5.080002,5.080002,180,7,34,31,3,-3,-1.3376624584198,1.3376624584198,0,3,0,0,-3,3,0,0,168,168,0,0
Nate Diaz,Benson Henderson,Benson Henderson,2012-12-08,0,1,-2,2,1.692308,3.428571,7.62001,-7.62001,0,0,15.23999,-15.23999,44,1020,35,31,4,-4,-1.73626375198364,1.73626375198364,2,4,0,0,-2,2,0,0,217,119,98,-98
Rafael Dos Anjos,Benson Henderson,Rafael Dos Anjos,2014-08-23,1,0,-1,1,2.133333,3.428571,-2.539993,2.539993,0,0,0,0,2,2,47,31,16,-16,-1.29523801803589,1.29523801803589,1,5,1,0,-4,4,1,-1,77,623,-546,546
Donald Cerrone,Benson Henderson,Donald Cerrone,2015-01-18,1,0,0,0,2.117647,3.428571,10.16,-10.16,-15,15,7.619995,-7.619995,32,0,53,31,22,-22,-1.31092429161072,1.31092429161072,4,0,1,1,4,-4,0,0,15,148,-133,133
Fredy Serrano,Bentley Syler,Fredy Serrano,2015-03-21,1,0,3,-3,1.5,5,-2.539993,2.539993,0,0,0.1000061,-0.1000061,42,0,5,6,-1,1,-3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0
Simeon Thoresen,Besam Yousef,Simeon Thoresen,2012-04-14,1,0,1,-1,2.833333,1.75,5.080002,-5.080002,0,0,17.66,-17.66,208,9,23,11,12,-12,1.08333325386047,-1.08333325386047,0,0,0,0,0,0,0,0,0,0,0,0
Papy Abedi,Besam Yousef,Papy Abedi,2013-04-06,1,0,6,-6,2.5,1.75,0,0,15,-15,6.199997,-6.199997,337,265,14,11,3,-3,0.75,-0.75,0,0,0,0,0,0,0,0,357,357,0,0
Shayna Baszler,Bethe Correia,Bethe Correia,2014-08-30,0,1,3,-3,1.363636,1.833333,5.079987,-5.079987,0,0,7.440002,-7.440002,115,156,26,17,9,-9,-0.469696998596191,0.469696998596191,0,0,0,0,0,0,0,0,0,0,0,0
Irene Aldana,Bethe Correia,Irene Aldana,2019-05-11,1,0,-4,4,2,1.833333,10.15999,-10.15999,0,0,10.16,-10.16,10,15,21,17,4,-4,0.166666626930237,-0.166666626930237,2,1,0,0,1,-1,0,0,245,1715,-1470,1470
Uriah Hall,Bevon Lewis,Uriah Hall,2018-12-29,1,0,7,-7,1.636364,2.333333,-7.619995,7.619995,0,0,0,0,1,129,29,10,19,-19,-0.696969628334045,0.696969628334045,1,0,1,0,1,-1,1,-1,469,0,469,-469
Trevin Giles,Bevon Lewis,Trevin Giles,2020-11-07,1,0,-1,1,3.2,2.333333,-7.619995,7.619995,-15,15,-12.7,12.7,153,95,21,10,11,-11,0.866666793823242,-0.866666793823242,1,0,0,1,1,-1,-1,1,273,679,-406,406
Jenel Lausa,Bibulatov Magomed,Bibulatov Magomed,2017-04-08,0,1,0,0,1.4,7,0,0,0,0,7.619995,-7.619995,27,461,12,16,-4,4,-5.60000002384186,5.60000002384186,1,0,0,0,1,-1,0,0,133,0,133,-133
Rogerio Bontorin,Bibulatov Magomed,Rogerio Bontorin,2019-02-02,1,0,-4,4,4,7,0,0,0,0,5.079987,-5.079987,178,136,20,16,4,-4,-3,3,0,1,0,0,-1,1,0,0,0,665,-665,665
Forrest Griffin,Bill Mahood,Forrest Griffin,2005-06-04,1,0,-12,12,2.714286,2.857143,0,0,5,-5,-0.4199982,0.4199982,124,0,26,27,-1,1,-0.142857313156128,0.142857313156128,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Kilburn,Billy Quarantillo,Billy Quarantillo,2019-12-07,0,1,-6,6,2,3.6,-2.540009,2.540009,0,0,5.080002,-5.080002,13,445,12,23,-11,11,-1.59999990463257,1.59999990463257,0,0,0,0,0,0,0,0,0,0,0,0
Spike Carlyle,Billy Quarantillo,Billy Quarantillo,2020-05-30,0,1,-4,4,3,3.6,-5.080002,5.080002,0,0,2.539993,-2.539993,541,284,12,23,-11,11,-0.599999904632568,0.599999904632568,1,1,0,0,0,0,0,0,91,175,-84,84
Kyle Nelson,Billy Quarantillo,Billy Quarantillo,2020-09-12,0,1,-2,2,3,3.6,2.539993,-2.539993,0,0,2.539993,-2.539993,87,208,20,23,-3,3,-0.599999904632568,0.599999904632568,1,2,0,0,-1,1,0,0,357,105,252,-252
