l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Leandro Issa,Jumabieke Tuerxun,Leandro Issa,1,0,2,2.166667,0,0,2.259995,-4,Orthodox vs Orthodox,-2,4.75,0,0,-2.259995,4,Orthodox vs Orthodox,Bantamweight,-2.58333325386047,2.58333325386047
Leandro Issa,Yuta Sasaki,Leandro Issa,1,0,6,2.166667,-7.62001,10,-5.080002,-8,Orthodox vs Southpaw,-6,3.5,7.62001,-10,5.080002,8,Southpaw vs Orthodox,Bantamweight,-1.33333325386047,1.33333325386047
Leandro Issa,Taylor Lapilus,Taylor Lapilus,0,1,8,2.166667,2.539993,0,-10.16,-3,Orthodox vs Southpaw,-8,6.333333,-2.539993,0,10.16,3,Southpaw vs Orthodox,Bantamweight,-4.16666674613953,4.16666674613953
Leandro Silva,Francisco Trinaldo,Francisco Trinaldo,0,1,-8,3.333333,0,-15,5.080002,-11,Orthodox vs Southpaw,8,3.111111,0,15,-5.080002,11,Southpaw vs Orthodox,Lightweight,0.222222089767456,-0.222222089767456
Lee Murray,Jorge Rivera,Lee Murray,1,0,-5,4,5.080002,0,10.58,-19,Orthodox vs Orthodox,5,2.222222,-5.080002,0,-10.58,19,Orthodox vs Orthodox,Middleweight,1.77777767181396,-1.77777767181396
Leigh Remedios,Genki Sudo,Genki Sudo,0,1,2,1.8,-5.080002,0,-5,9,Orthodox vs Orthodox,-2,3.75,5.080002,0,5,-9,Orthodox vs Orthodox,Lightweight,-1.95000004768372,1.95000004768372
Leo Kuntz,Islam Makhachev,Islam Makhachev,0,1,8,4.5,0,0,2.199997,-3,Orthodox vs Southpaw,-8,24,0,0,-2.199997,3,Southpaw vs Orthodox,Lightweight,-19.5,19.5
Leon Edwards,Dominic Waters,Leon Edwards,1,0,-3,7,2.540009,0,-12.7,10,Southpaw vs Orthodox,3,1.8,-2.540009,0,12.7,-10,Orthodox vs Southpaw,Welterweight,5.20000004768372,-5.20000004768372
Leon Edwards,Albert Tumenov,Leon Edwards,1,0,1,7,7.62001,0,2.540009,2,Southpaw vs Orthodox,-1,4.5,-7.62001,0,-2.540009,-2,Orthodox vs Southpaw,Welterweight,2.5,-2.5
Leon Edwards,Kamaru Usman,Kamaru Usman,0,1,-4,7,5.080002,0,-5.079987,1,Southpaw vs Switch,4,6.666667,-5.080002,0,5.079987,-1,Switch vs Southpaw,Welterweight,0.333333492279053,-0.333333492279053
Leon Edwards,Gunnar Nelson,Leon Edwards,1,0,-3,7,7.62001,0,5.080002,0,Southpaw vs Switch,3,3.8,-7.62001,0,-5.080002,0,Switch vs Southpaw,Welterweight,3.20000004768372,-3.20000004768372
Leon Edwards,Kamaru Usman,Leon Edwards,1,0,-5,7,5.080002,0,-5.079987,1,Southpaw vs Switch,5,6.666667,-5.080002,0,5.079987,-1,Switch vs Southpaw,Welterweight,0.333333492279053,-0.333333492279053
Leon Edwards,Pawel Pawlak,Leon Edwards,1,0,-3,7,5.080002,0,2.540009,9,Southpaw vs Orthodox,3,4,-5.080002,0,-2.540009,-9,Orthodox vs Southpaw,Welterweight,3,-3
Leon Edwards,Kamaru Usman,Leon Edwards,1,0,-4,7,5.080002,0,-5.079987,1,Southpaw vs Switch,4,6.666667,-5.080002,0,5.079987,-1,Switch vs Southpaw,Welterweight,0.333333492279053,-0.333333492279053
Leon Edwards,Vicente Luque,Leon Edwards,1,0,0,7,7.62001,0,-2.539993,-7,Southpaw vs Orthodox,0,2.444444,-7.62001,0,2.539993,7,Orthodox vs Southpaw,Welterweight,4.55555558204651,-4.55555558204651
Leon Edwards,Claudio Silva,Claudio Silva,0,1,-9,7,7.62001,0,7.62001,6,Southpaw vs Southpaw,9,3.5,-7.62001,0,-7.62001,-6,Southpaw vs Southpaw,Welterweight,3.5,-3.5
Leon Edwards,Peter Sobotta,Leon Edwards,1,0,-5,7,5.080002,0,-2.539993,0,Southpaw vs Southpaw,5,2.428571,-5.080002,0,2.539993,0,Southpaw vs Southpaw,Welterweight,4.57142853736877,-4.57142853736877
Leonard Garcia,Chan Sung Jung,Chan Sung Jung,0,1,7,1.384615,7.62001,0,-10.16,6,Orthodox vs Orthodox,-7,2.125,-7.62001,0,10.16,-6,Orthodox vs Orthodox,Featherweight,-0.740384578704834,0.740384578704834
