l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Luke Cummo,Jason Von Flue,Luke Cummo,0,165,97,108,43,4,3,3,0,0,69,29,57,17,9,2,1,0,245,247,Decision,3,3,5:00,1,0,-0.166666626930237,0.166666626930237
Luke Cummo,Joe Stevenson,Joe Stevenson,0,91,66,39,20,1,1,1,0,0,77,58,33,20,9,5,2,1,122,583,Decision,3,3,5:00,0,1,-1.0625,1.0625
Luke Cummo,Edilberto de Oliveira,Luke Cummo,1,19,6,19,6,0,0,0,0,0,16,5,16,5,0,0,0,0,2,0,KO/TKO,3,1,1:45,1,0,-0.933333277702332,0.933333277702332
Luke Cummo,Luigi Fioravanti,Luigi Fioravanti,0,109,82,39,16,1,0,0,0,0,197,129,75,32,16,13,0,0,40,635,Decision,3,3,5:00,0,1,-0.733333349227905,0.733333349227905
Luke Jumeau,Dhiego Lima,Dhiego Lima,0,95,24,95,24,0,0,0,0,0,124,49,105,32,6,2,0,0,0,160,Decision,3,3,5:00,0,1,0.711111068725586,-0.711111068725586
Luke Jumeau,Dominique Steele,Luke Jumeau,0,103,59,83,40,0,0,0,0,0,103,63,83,44,11,1,0,0,98,340,Decision,3,3,5:00,1,0,1.04444432258606,-1.04444432258606
Luke Rockhold,Chris Weidman,Luke Rockhold,0,229,161,191,126,4,2,1,0,0,92,62,75,48,6,3,0,0,332,267,KO/TKO,5,4,3:12,1,0,0.523809671401978,-0.523809671401978
Luke Rockhold,Yoel Romero,Yoel Romero,0,119,45,119,45,0,0,0,0,1,99,52,92,45,0,0,0,0,0,8,KO/TKO,5,3,1:48,0,1,6.6666841506958e-02,-6.6666841506958e-02
Luke Sanders,Rani Yahya,Rani Yahya,0,4,2,4,2,0,0,0,0,0,8,4,8,4,2,0,2,0,22,4,Submission,3,1,1:31,0,1,5.45454025268555e-02,-5.45454025268555e-02
Luke Sanders,Andre Soukhamthath,Andre Soukhamthath,0,82,37,67,23,1,0,0,0,1,52,23,49,20,0,0,0,0,109,0,KO/TKO,3,2,1:06,0,1,0.974999904632568,-0.974999904632568
Luke Sanders,Patrick Williams,Luke Sanders,1,143,62,140,59,0,0,0,0,0,117,68,109,61,5,1,0,0,79,55,Decision,3,3,5:00,1,0,1.26666653156281,-1.26666653156281
Lyman Good,Demian Maia,Demian Maia,0,2,0,2,0,0,0,0,0,0,9,8,1,0,4,2,2,0,0,131,Submission,3,1,2:38,0,1,0.954545497894287,-0.954545497894287
Lyman Good,Chance Rencountre,Lyman Good,1,142,73,134,68,0,0,0,0,0,85,23,83,23,1,0,0,0,10,24,KO/TKO,3,3,2:03,1,0,0,0
Lyman Good,Ben Saunders,Lyman Good,1,25,17,22,14,0,0,0,0,0,23,12,23,12,0,0,0,0,5,0,KO/TKO,3,1,1:32,1,0,1.80769228935242,-1.80769228935242
Lyman Good,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0,182,89,165,75,1,1,0,0,0,220,84,219,83,7,1,0,0,37,72,Decision,3,3,5:00,0,1,7.14285373687744e-02,-7.14285373687744e-02
Lyman Good,Belal Muhammad,Belal Muhammad,0,175,84,172,81,0,0,0,0,0,176,86,172,82,8,2,0,0,7,104,Decision,3,3,5:00,0,1,-4.16666650772095,4.16666650772095
Lyoto Machida,Mark Munoz,Lyoto Machida,1,10,5,10,5,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,KO/TKO,5,1,3:10,1,0,0.666666746139526,-0.666666746139526
Lyoto Machida,Chris Weidman,Chris Weidman,0,145,63,139,58,0,0,0,0,0,206,90,177,65,13,5,0,0,19,278,Decision,5,5,5:00,0,1,0.857142925262451,-0.857142925262451
Lyoto Machida,Mauricio Rua,Mauricio Rua,0,12,10,11,9,2,2,0,0,1,35,24,28,17,1,0,0,0,53,34,KO/TKO,5,1,3:35,0,1,1.07142853736877,-1.07142853736877
Lyoto Machida,Yoel Romero,Yoel Romero,0,64,31,64,31,0,0,0,0,0,72,44,70,42,2,1,0,0,0,5,KO/TKO,5,3,1:38,0,1,0.400000095367432,-0.400000095367432
Lyoto Machida,Gegard Mousasi,Lyoto Machida,0,108,35,101,28,2,1,0,0,0,138,66,106,36,3,0,0,1,190,102,Decision,5,5,5:00,1,0,-4,4
Lyoto Machida,Mauricio Rua,Lyoto Machida,0,113,39,108,35,0,0,0,0,0,148,82,146,80,4,0,0,0,23,162,Decision,5,5,5:00,1,0,1.07142853736877,-1.07142853736877
Lyoto Machida,Kazuhiro Nakamura,Lyoto Machida,0,153,134,89,70,3,2,1,0,0,44,27,31,15,10,2,0,0,548,107,Decision,3,3,5:00,1,0,1.38461542129517,-1.38461542129517
Lyoto Machida,Luke Rockhold,Luke Rockhold,0,33,19,27,13,0,0,0,0,0,63,39,44,23,1,1,2,0,85,190,Submission,5,2,2:31,0,1,0.333333253860474,-0.333333253860474
Lyoto Machida,Rameau Thierry Sokoudjou,Lyoto Machida,1,68,40,48,21,0,0,5,1,0,38,19,24,6,4,2,2,0,334,22,Submission,3,2,4:20,1,0,2,-2
Lyoto Machida,Tito Ortiz,Lyoto Machida,1,87,67,60,41,1,1,0,0,0,76,39,53,16,7,0,2,0,175,19,Decision,3,3,5:00,1,0,1.41666662693024,-1.41666662693024
Lyoto Machida,Thiago Silva,Lyoto Machida,2,48,32,40,24,3,2,0,0,0,28,19,10,2,2,0,0,0,148,24,KO/TKO,3,1,4:59,1,0,-0.166666746139526,0.166666746139526
Mac Danzig,Josh Neer,Josh Neer,1,100,62,66,33,1,0,0,1,0,119,68,96,46,0,0,3,0,178,133,Submission,3,2,3:36,0,1,-0.5,0.5
Mac Danzig,Tommy Speer,Mac Danzig,0,41,36,14,10,2,1,1,0,0,8,5,7,4,0,0,0,0,74,28,Submission,3,1,2:01,1,0,-1.25,1.25
Mac Danzig,Takanori Gomi,Takanori Gomi,0,155,95,122,64,5,2,1,0,1,175,88,140,54,2,1,0,0,93,261,Decision,3,3,5:00,0,1,-0.75,0.75
Mac Danzig,Clay Guida,Clay Guida,0,139,64,108,36,3,1,0,0,0,133,67,106,43,18,10,0,0,34,516,Decision,3,3,5:00,0,1,-0.149999976158142,0.149999976158142
Mac Danzig,Matt Wiman,Matt Wiman,0,15,9,8,4,1,1,0,0,0,14,6,12,4,0,0,2,1,57,24,Submission,3,1,1:45,0,1,0.149999976158142,-0.149999976158142
Mac Danzig,Jim Miller,Jim Miller,0,157,116,57,20,0,0,1,1,0,157,98,91,37,7,6,1,0,28,628,Decision,3,3,5:00,0,1,-0.367647171020508,0.367647171020508
Mac Danzig,Efrain Escudero,Mac Danzig,0,190,130,119,67,5,1,0,0,0,186,107,133,56,2,0,1,0,334,60,Decision,3,3,5:00,1,0,-0.583333253860474,0.583333253860474
Mac Danzig,Joe Stevenson,Mac Danzig,1,23,9,23,9,0,0,0,0,0,19,6,19,6,0,0,0,0,1,0,KO/TKO,3,1,1:54,1,0,-0.3125,0.3125
Mac Danzig,Melvin Guillard,Melvin Guillard,0,57,24,56,23,1,0,0,0,1,92,43,88,39,0,0,0,0,13,40,KO/TKO,3,2,2:47,0,1,-2.77777910232544e-02,2.77777910232544e-02
Mac Danzig,Joe Lauzon,Joe Lauzon,0,137,91,92,52,1,0,0,0,0,113,80,75,43,3,3,2,1,154,416,Decision,3,3,5:00,0,1,0,0
Mac Danzig,Matt Wiman,Matt Wiman,0,255,193,107,66,6,2,1,0,0,169,119,141,93,7,2,1,1,297,245,Decision,3,3,5:00,0,1,0.149999976158142,-0.149999976158142
Maciej Jewtuszko,Curt Warburton,Curt Warburton,0,86,45,67,30,0,0,0,0,0,112,52,58,18,7,4,0,0,0,498,Decision,3,3,5:00,0,1,1.83333325386047,-1.83333325386047
Mackenzie Dern,Tecia Torres,Mackenzie Dern,0,164,58,156,50,5,0,3,0,0,126,78,124,76,2,0,0,0,144,174,Decision,3,3,5:00,1,0,2.16666674613953,-2.16666674613953
Mackenzie Dern,Marina Rodriguez,Marina Rodriguez,0,209,80,174,49,8,1,1,1,0,284,148,279,144,0,0,1,0,441,10,Decision,5,5,5:00,0,1,-1.33333301544189,1.33333301544189
Mackenzie Dern,Yan Xiaonan,Yan Xiaonan,0,339,224,151,61,11,2,2,2,0,240,151,195,113,0,0,0,0,559,251,Decision,5,5,5:00,0,1,-1.33333301544189,1.33333301544189
Mackenzie Dern,Nina Nunes,Mackenzie Dern,0,44,31,22,12,2,1,1,0,0,8,5,7,4,0,0,0,0,240,0,Submission,3,1,4:48,1,0,2.76190495491028,-2.76190495491028
Mackenzie Dern,Amanda Ribas,Amanda Ribas,0,175,50,145,20,6,0,0,0,0,216,84,206,74,2,2,0,0,2,106,Decision,3,3,5:00,0,1,1.58333349227905,-1.58333349227905
Mackenzie Dern,Angela Hill,Mackenzie Dern,1,340,247,210,126,9,3,0,0,0,142,94,108,66,0,0,0,0,792,431,Decision,5,5,5:00,1,0,3.17948734760284,-3.17948734760284
Mackenzie Dern,Randa Markos,Mackenzie Dern,0,17,11,13,9,0,0,5,1,0,10,7,5,3,0,0,0,0,105,96,Submission,3,1,3:44,1,0,3.41666680574417,-3.41666680574417
Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,0,195,101,174,82,5,0,0,0,0,152,80,134,63,1,1,0,0,154,164,Decision,3,3,5:00,1,0,-2,2
Mackenzie Dern,Ashley Yoder,Mackenzie Dern,0,149,76,143,70,6,1,1,0,1,165,73,142,52,0,0,0,0,350,42,Decision,3,3,5:00,1,0,3.33333349227905,-3.33333349227905
Macy Chiasson,Marion Reneau,Macy Chiasson,0,184,92,138,51,1,1,0,1,0,93,59,63,30,4,2,0,0,228,135,Decision,3,3,5:00,1,0,1.875,-1.875
