l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Aalon Cruz,Uros Medic,Uros Medic,0,3,0,3,0,2,0,0,0,1,74,55,63,45,0,0,0,0,11,56,KO/TKO,3,1,1:40,0,1,-7,7
Aaron Phillips,Jack Shore,Jack Shore,0,16,7,15,6,0,0,0,0,0,59,42,45,29,8,3,1,0,5,325,Submission,3,2,2:29,0,1,-14.5999999046326,14.5999999046326
Aaron Phillips,Sam Sicilia,Sam Sicilia,0,137,109,40,18,0,0,1,1,0,129,95,68,37,8,5,1,1,68,609,Decision,3,3,5:00,0,1,0.525000095367432,-0.525000095367432
Aaron Riley,Justin Salas,Justin Salas,0,172,26,172,26,0,0,0,0,0,144,58,140,54,9,3,0,0,0,30,Decision,3,3,5:00,0,1,0.428571343421936,-0.428571343421936
Aaron Rosa,James Te Huna,James Te Huna,0,29,16,12,0,0,0,0,0,0,50,37,33,22,0,0,0,0,0,66,KO/TKO,3,1,2:08,0,1,1.22222220897675,-1.22222220897675
Aaron Simpson,Brad Tavares,Aaron Simpson,0,156,127,66,43,15,2,2,0,0,62,41,33,13,4,1,0,0,659,58,Decision,3,3,5:00,1,0,0.177777767181396,-0.177777767181396
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,0,2,2,2,2,0,0,0,0,1,10,5,10,5,0,0,0,0,0,0,KO/TKO,3,1,0:30,0,1,-2.26666641235352,2.26666641235352
Abdul Razak Alhassan,Charlie Ward,Abdul Razak Alhassan,3,22,12,22,12,0,0,0,0,0,15,2,14,2,0,0,0,0,7,0,KO/TKO,3,1,0:53,1,0,1.40000009536743,-1.40000009536743
Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,1,41,30,28,17,2,0,0,0,0,54,42,31,19,0,0,0,0,188,16,KO/TKO,3,2,0:28,1,0,-0.349999904632568,0.349999904632568
Abdul-Kerim Edilov,Bojan Mihajlovic,Abdul-Kerim Edilov,0,210,150,125,77,2,2,1,0,0,21,7,13,1,0,0,0,0,331,0,KO/TKO,3,2,2:32,1,0,2.58333337306976,-2.58333337306976
Abel Trujillo,James Vick,James Vick,0,36,14,33,11,5,1,0,0,0,71,29,67,25,2,1,3,0,135,141,Submission,3,3,0:49,0,1,-0.724999904632568,0.724999904632568
Abel Trujillo,Jamie Varner,Abel Trujillo,1,88,27,79,18,3,0,0,0,0,122,51,96,36,0,0,1,0,9,150,KO/TKO,3,2,2:32,1,0,-3.40908765792847e-02,3.40908765792847e-02
Abu Azaitar,Marc-Andre Barriault,Marc-Andre Barriault,0,261,142,219,108,3,0,0,0,1,339,190,275,141,1,0,0,0,123,360,KO/TKO,3,3,4:56,0,1,1.99999976158142,-1.99999976158142
Abu Azaitar,Vitor Miranda,Abu Azaitar,0,226,135,128,48,1,1,0,1,0,91,63,45,19,4,3,1,1,198,297,Decision,3,3,5:00,1,0,2.26666641235352,-2.26666641235352
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0,76,48,54,29,8,1,0,0,0,132,50,113,42,2,0,0,0,376,15,Decision,3,3,5:00,0,1,0.821428537368774,-0.821428537368774
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,0,104,76,67,40,4,1,0,0,0,142,79,99,38,7,1,0,0,475,68,Decision,3,3,5:00,1,0,-2.25,2.25
Abubakar Nurmagomedov,David Zawada,David Zawada,0,34,22,9,4,1,1,0,0,0,34,25,11,2,0,0,2,0,110,0,Submission,3,1,2:50,0,1,1.82142853736877,-1.82142853736877
Abus Magomedov,Sean Strickland,Sean Strickland,0,101,47,101,47,2,1,0,0,1,188,81,188,81,0,0,0,0,23,10,KO/TKO,5,2,4:20,0,1,-0.599999904632568,0.599999904632568
Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,1,7,7,7,7,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,KO/TKO,3,1,0:19,1,0,2.20000004768372,-2.20000004768372
Adam Cella,Tor Troeng,Tor Troeng,0,14,4,12,2,0,0,0,0,0,23,16,11,6,1,1,1,0,0,141,Submission,3,1,3:11,0,1,-1.53571438789368,1.53571438789368
Adam Fugitt,Yusaku Kinoshita,Adam Fugitt,0,54,33,33,21,7,4,0,0,0,25,11,24,10,1,0,0,0,173,1,KO/TKO,3,1,4:36,1,0,0.25,-0.25
Adam Fugitt,Michael Morales,Michael Morales,0,120,70,113,64,8,1,0,0,2,157,89,151,83,1,0,0,0,111,12,KO/TKO,3,3,1:09,0,1,-12.75,12.75
Adam Fugitt,Mike Malott,Mike Malott,0,35,16,28,9,0,0,0,0,1,41,19,41,19,2,2,1,1,7,86,Submission,3,2,1:06,0,1,-7.75,7.75
Adam Milstead,Mike Rodriguez,Mike Rodriguez,0,34,22,21,10,0,0,0,0,2,53,44,42,35,0,0,0,0,0,112,KO/TKO,3,1,2:59,0,1,0.428571462631226,-0.428571462631226
Adlan Amagov,Chris Spang,Adlan Amagov,0,118,57,99,38,10,6,0,0,0,76,24,57,5,0,0,0,0,269,0,Decision,3,3,5:00,1,0,5,-5
Adlan Amagov,TJ Waldburger,Adlan Amagov,1,34,23,26,15,1,0,0,0,0,10,4,10,4,3,0,0,0,5,38,KO/TKO,3,1,3:00,1,0,5.22222220897675,-5.22222220897675
Adriano Martins,Leonardo Santos,Leonardo Santos,0,84,34,83,34,0,0,0,0,0,70,23,70,23,1,0,0,0,0,0,Decision,3,3,5:00,0,1,0.539682626724243,-0.539682626724243
Aisling Daly,Randa Markos,Randa Markos,0,92,50,65,27,5,2,1,0,0,171,131,52,18,4,2,1,0,413,331,Decision,3,3,5:00,0,1,1.75000005960464,-1.75000005960464
AJ Dobson,Tafon Nchukwi,AJ Dobson,0,176,98,134,67,3,2,0,0,0,106,59,99,53,0,0,0,0,273,0,Decision,3,3,5:00,1,0,2,-2
AJ Dobson,Armen Petrosyan,Armen Petrosyan,0,168,64,161,58,3,3,0,0,0,246,118,246,118,1,0,0,0,49,0,Decision,3,3,5:00,0,1,-1,1
AJ Dobson,Jacob Malkoun,Jacob Malkoun,0,110,68,90,52,0,0,0,0,0,255,183,128,80,16,6,0,0,27,557,Decision,3,3,5:00,0,1,1.16666674613953,-1.16666674613953
AJ Fletcher,Themba Gorimbo,AJ Fletcher,0,35,23,17,7,0,0,1,1,0,26,15,10,6,2,2,0,1,201,120,Submission,3,2,1:37,1,0,0.583333253860474,-0.583333253860474
AJ Fletcher,Ange Loosa,Ange Loosa,0,201,103,181,87,4,0,0,0,0,354,241,233,129,4,2,0,0,36,326,Decision,3,3,5:00,0,1,0,0
AJ Fletcher,Matthew Semelsberger,Matthew Semelsberger,0,124,87,64,34,6,4,2,2,0,97,54,82,40,1,1,0,0,342,295,Decision,3,3,5:00,0,1,1.49999988079071,-1.49999988079071
Akbarh Arreola,Yves Edwards,Akbarh Arreola,1,26,12,26,12,1,1,1,0,0,14,5,14,5,0,0,0,0,45,0,Submission,3,1,1:52,1,0,0.181818127632141,-0.181818127632141
Akbarh Arreola,Francisco Trinaldo,Francisco Trinaldo,0,127,82,74,34,0,0,0,0,0,169,91,115,39,3,3,0,0,0,557,Decision,3,3,5:00,0,1,-1.02020215988159,1.02020215988159
Akbarh Arreola,Jake Matthews,Jake Matthews,1,55,33,41,21,0,0,0,0,0,136,96,98,62,3,1,0,0,119,339,KO/TKO,3,2,5:00,0,1,-1.0757577419281,1.0757577419281
Akihiro Gono,Tamdan McCrory,Akihiro Gono,1,56,39,44,27,1,1,1,0,0,63,32,62,31,0,0,0,0,156,67,Submission,3,2,3:19,1,0,-1.13333332538605,1.13333332538605
Akihiro Gono,Dan Hardy,Dan Hardy,0,109,58,107,56,4,3,0,0,0,190,61,186,57,0,0,0,0,66,2,Decision,3,3,5:00,0,1,-0.833333373069763,0.833333373069763
Akira Corassani,Dustin Poirier,Dustin Poirier,0,66,24,66,24,1,0,0,0,1,90,46,89,45,1,0,1,0,12,44,KO/TKO,3,2,0:42,0,1,-1.625,1.625
Akira Corassani,Andy Ogle,Akira Corassani,0,99,51,93,45,0,0,0,0,1,156,102,105,52,11,1,0,0,2,348,Decision,3,3,5:00,1,0,0.5,-0.5
Akira Corassani,Robert Peralta,Akira Corassani,0,96,57,86,48,6,2,0,0,0,172,94,144,67,2,0,0,0,270,131,Decision,3,3,5:00,1,0,-0.25,0.25
Akira Corassani,Sam Sicilia,Sam Sicilia,0,32,11,31,10,0,0,0,0,1,28,12,26,10,0,0,0,0,2,24,KO/TKO,3,1,3:26,0,1,0.125,-0.125
Akira Corassani,Max Holloway,Max Holloway,0,29,11,29,11,0,0,0,0,1,62,38,51,31,0,0,0,0,10,11,KO/TKO,3,1,3:11,0,1,-1.57142853736877,1.57142853736877
Al Iaquinta,Joe Lauzon,Al Iaquinta,1,158,63,154,59,3,1,0,0,0,86,32,86,32,1,0,0,0,22,7,KO/TKO,3,2,3:34,1,0,0.25,-0.25
Al Iaquinta,Ross Pearson,Al Iaquinta,2,94,32,93,31,1,0,0,0,0,61,21,60,20,1,0,0,0,3,0,KO/TKO,3,2,1:39,1,0,0.75,-0.75
Al Iaquinta,Jorge Masvidal,Al Iaquinta,0,153,55,153,55,9,0,0,0,0,173,86,170,83,0,0,0,0,7,25,Decision,3,3,5:00,1,0,-5.88235855102539e-02,5.88235855102539e-02
Al Iaquinta,Khabib Nurmagomedov,Khabib Nurmagomedov,0,143,43,141,41,1,0,0,0,0,352,172,304,134,15,6,1,0,0,633,Decision,5,5,5:00,0,1,-27,27
Al Iaquinta,Diego Sanchez,Al Iaquinta,2,19,12,19,12,0,0,0,0,0,15,4,15,4,0,0,0,0,5,0,KO/TKO,3,1,1:38,1,0,-0.384615421295166,0.384615421295166
Al Iaquinta,Kevin Lee,Al Iaquinta,0,230,113,228,111,7,0,0,0,0,319,121,296,102,5,3,0,0,14,325,Decision,5,5,5:00,1,0,-0.25,0.25
Al Iaquinta,Kevin Lee,Al Iaquinta,1,125,50,122,49,1,0,1,0,0,155,51,142,39,8,1,2,0,108,250,Decision,3,3,5:00,1,0,-0.25,0.25
Alan Baudot,Parker Porter,Parker Porter,0,113,61,107,55,0,0,0,0,0,150,82,106,43,8,2,0,0,24,394,Decision,3,3,5:00,0,1,1.11111116409302,-1.11111116409302
Alan Baudot,Josh Parisian,Josh Parisian,1,82,56,75,49,0,0,0,0,0,156,102,68,42,4,3,0,0,103,189,KO/TKO,3,2,3:04,0,1,0.523809671401978,-0.523809671401978
Alan Belcher,Patrick Cote,Alan Belcher,0,68,44,51,27,1,1,1,1,0,50,35,37,22,2,2,1,0,147,99,Submission,3,2,3:25,1,0,0.159090995788574,-0.159090995788574
Alan Belcher,Jason Day,Jason Day,0,11,6,8,3,1,1,0,0,0,82,67,43,29,0,0,0,0,162,0,KO/TKO,3,1,3:58,0,1,0.666666626930237,-0.666666626930237
Alan Belcher,Kendall Grove,Kendall Grove,0,15,10,13,8,7,1,0,0,0,128,95,74,41,1,1,2,0,132,284,Submission,3,2,4:42,0,1,0.897058844566345,-0.897058844566345
Alan Belcher,Sean Salmon,Alan Belcher,0,2,0,2,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,5,Submission,3,1,0:53,1,0,1.39285713434219,-1.39285713434219
Alan Belcher,Yushin Okami,Yushin Okami,0,66,18,55,8,1,0,0,1,0,97,59,47,12,9,5,0,0,100,385,Decision,3,3,5:00,0,1,-0.583333253860474,0.583333253860474
Alan Belcher,Ed Herman,Alan Belcher,0,103,67,90,54,0,0,0,0,0,175,86,130,43,12,5,2,0,144,289,Decision,3,3,5:00,1,0,0.5625,-0.5625
Alan Belcher,Jason MacDonald,Alan Belcher,0,68,52,39,25,0,0,0,0,0,10,5,7,2,3,0,0,0,177,25,KO/TKO,3,1,3:48,1,0,0.6875,-0.6875
Alan Belcher,Yushin Okami,Yushin Okami,0,39,15,28,6,0,0,2,0,0,115,81,44,20,5,1,0,0,203,481,Decision,3,3,5:00,0,1,-0.583333253860474,0.583333253860474
Alan Belcher,Jorge Santiago,Alan Belcher,1,122,71,76,29,2,1,2,0,0,69,24,59,14,3,0,3,1,259,145,KO/TKO,3,3,2:45,1,0,0.166666746139526,-0.166666746139526
Alan Belcher,Denis Kang,Alan Belcher,0,28,9,28,9,0,0,1,0,0,85,54,55,26,5,3,1,0,20,343,Submission,3,2,4:36,1,0,0.0625,-0.0625
Alan Belcher,Rousimar Palhares,Alan Belcher,0,46,29,37,20,0,0,1,0,0,2,1,1,0,1,1,1,0,134,7,KO/TKO,3,1,4:18,1,0,-0.125,0.125
Alan Belcher,Kalib Starnes,Alan Belcher,0,104,61,100,57,0,0,0,0,0,94,45,89,40,3,1,0,0,51,28,KO/TKO,3,2,1:39,1,0,0.704545497894287,-0.704545497894287
Alan Belcher,Wilson Gouveia,Alan Belcher,1,63,26,56,21,0,0,0,0,0,91,30,90,29,0,0,0,0,4,0,KO/TKO,3,1,3:03,1,0,0.5,-0.5
Alan Belcher,Michael Bisping,Michael Bisping,0,150,29,150,29,3,0,0,0,0,226,94,225,93,0,0,0,0,0,8,Decision,3,3,4:31,0,1,-1.08333325386047,1.08333325386047
Alan Jouban,Ben Saunders,Alan Jouban,2,141,78,141,78,0,0,0,0,0,80,34,79,33,0,0,0,0,18,3,KO/TKO,3,2,2:38,1,0,0.736263751983643,-0.736263751983643
Alan Jouban,Mike Perry,Alan Jouban,1,133,69,133,69,5,2,0,0,0,90,37,90,37,0,0,0,0,66,0,Decision,3,3,5:00,1,0,0.678571462631226,-0.678571462631226
Alan Jouban,Richard Walsh,Alan Jouban,0,25,12,25,12,0,0,0,0,0,25,14,20,10,0,0,0,0,1,17,KO/TKO,3,1,2:19,1,0,0.628571510314941,-0.628571510314941
Alan Jouban,"Brendan O'Reilly",Alan Jouban,1,45,37,40,32,0,0,0,0,0,21,12,17,8,1,1,0,0,34,46,KO/TKO,3,1,2:15,1,0,0.428571462631226,-0.428571462631226
Alan Jouban,Gunnar Nelson,Gunnar Nelson,0,33,17,33,17,0,0,0,0,0,28,17,18,8,2,1,1,0,0,182,Submission,3,2,0:46,0,1,-1.37142848968506,1.37142848968506
Alan Jouban,Belal Muhammad,Alan Jouban,3,191,105,169,86,0,0,0,0,0,239,108,199,77,8,2,0,0,97,179,Decision,3,3,5:00,1,0,-5.23809504508972,5.23809504508972
Alan Jouban,Niko Price,Niko Price,0,9,5,9,5,0,0,0,0,1,19,10,19,10,0,0,0,0,0,5,KO/TKO,3,1,1:44,0,1,0.285714387893677,-0.285714387893677
Alan Jouban,Albert Tumenov,Albert Tumenov,0,34,17,34,17,0,0,0,0,1,41,19,41,19,1,0,0,0,0,2,KO/TKO,3,1,2:55,0,1,-2.07142853736877,2.07142853736877
Alan Patrick,Mairbek Taisumov,Mairbek Taisumov,0,38,17,38,17,7,0,0,0,1,44,24,43,23,0,0,0,0,23,15,KO/TKO,3,2,1:30,0,1,-0.75,0.75
Alan Patrick,Garett Whiteley,Alan Patrick,1,42,19,35,16,2,1,0,0,0,36,15,28,7,1,0,0,0,53,5,KO/TKO,3,1,3:54,1,0,1.41666674613953,-1.41666674613953
Alan Patrick,Stevie Ray,Alan Patrick,0,75,60,12,7,8,5,1,0,0,65,56,9,2,0,0,1,0,732,92,Decision,3,3,5:00,1,0,1.19444441795349,-1.19444441795349
Albert Cheng,Anying Wang,Anying Wang,0,12,5,12,5,1,0,0,0,0,47,15,45,13,0,0,0,0,6,32,KO/TKO,3,1,5:00,0,1,-0.25,0.25
Albert Duraev,JunYong Park,JunYong Park,0,83,35,77,31,2,1,0,0,1,138,77,96,50,1,0,3,0,74,119,Submission,3,2,4:45,0,1,-0.200000047683716,0.200000047683716
Albert Duraev,Chidi Njokuani,Albert Duraev,0,159,68,123,45,3,2,0,0,0,104,44,99,40,0,0,0,0,242,0,Decision,3,3,5:00,1,0,1,-1
Albert Duraev,Roman Kopylov,Albert Duraev,0,265,152,140,71,9,1,1,0,1,111,54,93,42,2,1,0,0,333,25,Decision,3,3,5:00,1,0,-2.79999995231628,2.79999995231628
Albert Morales,Andre Soukhamthath,Albert Morales,0,172,79,132,56,3,1,0,0,0,148,73,116,46,1,0,0,0,282,138,Decision,3,3,5:00,1,0,0.125,-0.125
Alberta Cerra Leon,Remco Pardoel,Remco Pardoel,0,11,9,3,1,0,0,0,0,0,22,20,6,4,1,1,1,0,0,0,Submission,,1,9:51,0,1,-1.5,1.5
Alberto Crane,Kurt Pellegrino,Kurt Pellegrino,1,36,12,26,4,4,0,2,0,0,66,37,51,23,2,1,0,0,45,122,KO/TKO,3,2,1:55,0,1,0.714285612106323,-0.714285612106323
Alberto Crane,Roger Huerta,Roger Huerta,0,16,14,6,4,7,0,3,2,0,148,97,64,26,0,0,0,0,225,392,KO/TKO,3,3,1:50,0,1,0.444444417953491,-0.444444417953491
Alberto Mina,Mike Pyle,Alberto Mina,1,57,27,43,16,2,2,0,0,0,15,5,12,2,0,0,1,0,176,0,KO/TKO,3,2,1:17,1,0,11.0714285373688,-11.0714285373688
Alberto Uda,Marvin Vettori,Marvin Vettori,0,27,21,9,4,2,1,0,0,0,68,50,14,10,1,1,1,0,212,26,Submission,3,1,4:30,0,1,3.28571438789368,-3.28571438789368
Alejandro Perez,Cody Stamann,Cody Stamann,0,133,51,121,41,2,1,0,0,0,122,49,121,48,8,0,0,0,29,82,Decision,3,3,5:00,0,1,-0.944444417953491,0.944444417953491
Alejandro Perez,Jose Quinonez,Alejandro Perez,0,135,43,130,38,2,1,1,0,0,125,48,111,38,4,3,2,1,26,208,Decision,3,3,5:00,1,0,0.755555629730225,-0.755555629730225
Alejandro Perez,Eddie Wineland,Alejandro Perez,0,214,53,214,53,2,0,0,0,0,183,48,183,48,0,0,0,0,3,7,Decision,3,3,5:00,1,0,1.05555558204651,-1.05555558204651
Alejandro Perez,Song Yadong,Song Yadong,0,14,1,14,1,0,0,0,0,1,20,8,20,8,0,0,0,0,0,1,KO/TKO,3,1,2:04,0,1,-0.301587343215942,0.301587343215942
Alejandro Perez,Andre Soukhamthath,Alejandro Perez,0,195,97,141,44,6,1,0,0,3,108,44,107,43,0,0,0,0,132,9,Decision,3,3,5:00,1,0,0.930555582046509,-0.930555582046509
Alejandro Perez,Patrick Williams,Patrick Williams,0,1,0,1,0,1,0,0,0,1,4,2,4,2,0,0,1,0,2,2,Submission,3,1,0:23,0,1,1.22222220897675,-1.22222220897675
Aleksa Camur,Justin Ledet,Aleksa Camur,0,174,88,165,80,2,1,0,0,0,148,60,131,44,0,0,0,0,0,74,Decision,3,3,5:00,1,0,-0.25,0.25
Aleksa Camur,Nicolae Negumereanu,Nicolae Negumereanu,0,166,118,148,102,2,0,0,0,0,224,99,193,71,5,1,0,0,0,292,Decision,3,3,5:00,0,1,-4.5,4.5
Aleksa Camur,William Knight,William Knight,0,72,59,30,17,4,1,0,0,0,77,58,54,38,5,4,1,1,326,399,Decision,3,3,5:00,0,1,-0.200000047683716,0.200000047683716
Aleksandar Rakic,Anthony Smith,Aleksandar Rakic,1,159,141,57,44,0,0,0,0,0,53,40,21,9,2,0,0,0,734,36,Decision,3,3,5:00,1,0,2.61111092567444,-2.61111092567444
Aleksandar Rakic,Thiago Santos,Aleksandar Rakic,0,103,50,89,36,2,0,0,0,0,109,61,97,49,1,0,0,0,152,0,Decision,3,3,5:00,1,0,2.66666650772095,-2.66666650772095
Aleksandra Albu,Loma Lookboonmee,Loma Lookboonmee,0,171,77,157,65,3,1,0,0,0,164,112,151,99,6,1,0,0,122,23,Decision,3,3,5:00,0,1,-1.16666674613953,1.16666674613953
Aleksandra Albu,Emily Whitmire,Emily Whitmire,0,6,2,5,2,0,0,0,0,0,11,8,5,3,1,1,1,0,0,51,Submission,3,1,1:01,0,1,0.699999988079071,-0.699999988079071
Aleksandra Albu,Kailin Curran,Aleksandra Albu,0,221,109,181,82,8,5,0,0,0,232,153,157,86,3,1,0,1,151,340,Decision,3,3,5:00,1,0,0.699999988079071,-0.699999988079071
Aleksandra Albu,Izabela Badurek,Aleksandra Albu,0,74,53,62,42,1,0,1,0,0,55,42,45,32,8,1,0,0,109,189,Submission,3,2,3:34,1,0,-0.5,0.5
Aleksei Kunchenko,Yushin Okami,Aleksei Kunchenko,0,203,141,129,72,0,0,0,0,0,56,10,56,10,15,0,0,0,78,166,Decision,3,3,5:00,1,0,7.16666674613953,-7.16666674613953
Aleksei Kunchenko,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0,156,97,112,57,0,0,0,0,0,169,74,156,62,4,2,0,0,24,150,Decision,3,3,5:00,0,1,6.57142853736877,-6.57142853736877
Aleksei Oleinik,Jared Vanderaa,Aleksei Oleinik,0,22,8,22,8,0,0,1,1,0,49,23,40,15,0,0,0,0,44,54,Submission,3,1,3:39,1,0,2.32941174507141,-2.32941174507141
Aleksei Oleinik,Fabricio Werdum,Aleksei Oleinik,0,241,149,183,94,0,0,0,1,0,101,70,83,53,7,3,1,1,233,235,Decision,3,3,5:00,1,0,0.862745046615601,-0.862745046615601
Aleksei Oleinik,Viktor Pesta,Aleksei Oleinik,0,19,11,15,7,0,0,1,0,0,31,18,19,7,1,1,0,0,34,103,Submission,3,1,2:57,1,0,1.02941179275513,-1.02941179275513
Aleksei Oleinik,Jared Rosholt,Aleksei Oleinik,1,47,38,21,13,0,0,0,0,0,35,22,32,19,0,0,0,0,4,73,KO/TKO,3,1,3:21,1,0,2.9411792755127e-02,-2.9411792755127e-02
Aleksei Oleinik,Alistair Overeem,Alistair Overeem,0,101,78,58,38,0,0,0,0,1,35,31,33,29,1,0,0,0,83,72,KO/TKO,5,1,4:45,0,1,1.05572748184204,-1.05572748184204
Aleksei Oleinik,Daniel Omielanczuk,Daniel Omielanczuk,0,84,60,28,8,7,4,2,1,0,111,100,37,26,1,1,0,2,563,237,Decision,3,3,5:00,0,1,1.15441179275513,-1.15441179275513
Aleksei Oleinik,Serghei Spivac,Serghei Spivac,0,162,98,121,59,2,1,1,0,0,181,112,136,71,0,0,0,0,211,291,Decision,3,3,5:00,0,1,-0.470588207244873,0.470588207244873
Alen Amedovski,Joseph Holmes,Joseph Holmes,0,8,1,8,1,0,0,0,0,1,23,16,23,16,1,1,1,0,0,21,Submission,3,1,1:04,0,1,0,0
Alen Amedovski,Krzysztof Jotko,Krzysztof Jotko,0,17,6,17,6,0,0,0,1,0,149,111,69,43,4,4,0,0,13,576,Decision,3,3,5:00,0,1,-2,2
Alen Amedovski,John Phillips,John Phillips,0,11,2,11,2,0,0,0,0,1,8,5,8,5,0,0,0,0,0,2,KO/TKO,3,1,0:17,0,1,0,0
Alen Amedovski,Joe Pyfer,Joe Pyfer,0,30,11,30,11,0,0,0,0,1,45,14,45,14,0,0,0,0,0,3,KO/TKO,3,1,3:55,0,1,-3.5,3.5
Alessandro Costa,Jimmy Flick,Alessandro Costa,1,92,65,91,65,0,0,0,0,0,37,14,37,14,4,0,0,0,50,14,KO/TKO,3,2,1:03,1,0,2.04761910438538,-2.04761910438538
Alessio Di Chirico,Garreth McLellan,Alessio Di Chirico,1,198,114,136,61,6,2,0,0,0,179,88,139,57,8,2,0,0,186,223,Decision,3,3,5:00,1,0,-0.309523940086365,0.309523940086365
Alessio Di Chirico,Abdul Razak Alhassan,Abdul Razak Alhassan,0,2,1,2,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,KO/TKO,3,1,0:17,0,1,-0.54285728931427,0.54285728931427
Alessio Di Chirico,Julian Marquez,Alessio Di Chirico,0,122,55,116,50,6,4,0,0,0,149,49,147,47,1,0,2,0,238,3,Decision,3,3,5:00,1,0,-0.392857193946838,0.392857193946838
Alessio Di Chirico,Bojan Velickovic,Bojan Velickovic,0,161,78,148,65,3,2,0,0,0,148,56,135,45,5,1,1,1,27,46,Decision,3,3,5:00,0,1,-0.642857193946838,0.642857193946838
Alessio Di Chirico,Roman Kopylov,Roman Kopylov,0,131,43,126,39,4,0,0,0,1,129,66,122,59,0,0,0,0,62,1,KO/TKO,3,3,1:09,0,1,-4.14285719394684,4.14285719394684
Alessio Di Chirico,Makhmud Muradov,Makhmud Muradov,0,114,37,113,36,2,0,0,0,0,171,56,169,54,3,0,0,0,43,38,Decision,3,3,5:00,0,1,-1.39285719394684,1.39285719394684
Alessio Di Chirico,Kevin Holland,Kevin Holland,0,97,62,84,51,4,2,0,0,0,253,192,117,58,3,0,0,0,102,200,Decision,3,3,5:00,0,1,-0.642857193946838,0.642857193946838
Alessio Di Chirico,Eric Spicely,Eric Spicely,0,2,1,2,1,0,0,0,0,0,7,5,3,1,3,1,1,0,46,51,Submission,3,1,2:14,0,1,-0.142857193946838,0.142857193946838
Alessio Sakara,Chris Weidman,Chris Weidman,0,79,34,71,27,0,0,0,1,0,171,98,105,45,8,5,0,0,3,479,Decision,3,3,5:00,0,1,-0.415584325790405,0.415584325790405
Alessio Sakara,Victor Valimaki,Alessio Sakara,0,23,6,23,6,0,0,0,0,0,10,0,10,0,4,0,0,0,0,5,KO/TKO,3,1,1:44,1,0,-7.27272033691406e-02,7.27272033691406e-02
Alessio Sakara,Elvis Sinosic,Alessio Sakara,0,234,146,146,70,9,9,0,0,0,185,151,37,13,0,0,0,0,741,12,Decision,3,3,5:00,1,0,1.09090912342072,-1.09090912342072
Alessio Sakara,Joe Vedepo,Alessio Sakara,1,10,7,10,7,0,0,0,0,0,10,8,9,7,3,0,0,0,0,23,KO/TKO,3,1,1:27,1,0,-0.272727251052856,0.272727251052856
Alessio Sakara,Brian Stann,Brian Stann,0,20,13,14,7,0,0,0,0,1,47,28,33,18,0,0,0,0,0,76,KO/TKO,3,1,2:26,0,1,-0.272727251052856,0.272727251052856
Alex Andrade,Amaury Bitetti,Amaury Bitetti,1,45,30,27,12,1,0,0,0,0,20,16,10,6,0,0,0,0,92,14,DQ,3,2,0:43,0,1,-0.5,0.5
Alex Caceres,Urijah Faber,Urijah Faber,0,62,35,45,20,0,0,0,0,0,62,41,38,20,12,5,1,0,31,406,Submission,3,3,1:09,0,1,-1.68181824684143,1.68181824684143
Alex Caceres,Kevin Croom,Alex Caceres,0,121,97,68,48,1,1,1,1,0,67,26,51,16,16,1,0,1,224,452,Decision,3,3,5:00,1,0,0.100000023841858,-0.100000023841858
Alex Caceres,Kron Gracie,Kron Gracie,0,14,4,14,4,0,0,0,0,0,11,3,10,2,2,1,1,0,0,74,Submission,3,1,2:06,0,1,-1,1
Alex Caceres,Masio Fullen,Alex Caceres,0,153,80,144,74,3,1,0,0,0,110,38,108,36,1,0,0,0,107,5,Decision,3,3,5:00,1,0,-7.14285373687744e-02,7.14285373687744e-02
Alex Caceres,Roland Delorme,Alex Caceres,0,174,116,162,106,0,0,0,2,1,140,70,115,47,9,1,1,1,264,103,Decision,3,3,5:00,1,0,-0.299999952316284,0.299999952316284
Alex Caceres,Chase Hooper,Alex Caceres,1,170,109,164,103,1,1,0,0,0,197,60,187,53,2,0,0,1,151,176,Decision,3,3,5:00,1,0,-2.5,2.5
Alex Caceres,Mackens Semerzier,Mackens Semerzier,0,10,5,7,2,0,0,0,0,0,28,24,10,9,5,3,1,0,0,172,Submission,3,1,3:18,0,1,-0.5,0.5
Alex Caceres,Masanori Kanehara,Masanori Kanehara,0,87,33,78,24,0,0,0,1,0,145,102,69,32,4,2,2,0,36,452,Decision,3,3,5:00,0,1,-0.666666746139526,0.666666746139526
